EmployeeId,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,SalaryCategory,PromotionCategory,AgeGroup,DistanceCategory,OverTime_Numeric,Income_Level,Satisfaction_Index,Career_Progress,Stability_Factor,Work_Life_Balance_Impact,Distance_Strain,Promotion_Expectation,Experience_vs_Tenure,Loyalty_Index,Cluster,Cluster_Label,Dim1,Dim2
11,25,0.0,Travel_Rarely,583,Sales,4,1,Marketing,1,3,Male,87,2,2,Sales Executive,1,Married,4256,18154,1,Y,No,12,3,1,80,0,5,1,4,5,2,0,3,Rendah (< 5000),Baru Dipromosikan,< 30,0-5 km,0,2128.0,2.25,2.0,2.5,4,0.9756097560975611,0.3333333333333333,0.0,2.5,0,Risiko Sedang,-0.5809963408515549,0.4374468562751829
12,20,1.0,Travel_Rarely,129,Research & Development,4,3,Technical Degree,1,1,Male,84,3,1,Laboratory Technician,1,Single,2973,13008,1,Y,No,19,3,2,80,0,1,2,3,1,0,0,0,Rendah (< 5000),Baru Dipromosikan,< 30,0-5 km,0,2973.0,1.75,1.0,0.5,3,1.2903225806451613,0.5,0.0,0.5,0,Risiko Sedang,-0.6177268331431921,0.564957498551509
13,47,0.0,Travel_Rarely,571,Sales,14,3,Medical,1,3,Female,78,3,2,Sales Executive,3,Married,4591,24200,3,Y,Yes,17,3,3,80,1,11,4,2,5,4,1,2,Rendah (< 5000),1-2 Tahun,40-49,11-20 km,1,2295.5,2.75,1.0,1.25,0,6.666666666666666,0.16666666666666666,0.5,3.75,0,Risiko Sedang,-0.5573154066302408,0.3020533962822212
14,42,0.0,Travel_Rarely,810,Research & Development,23,5,Life Sciences,1,1,Female,44,3,4,Research Director,4,Single,15992,15901,2,Y,No,14,3,2,80,0,16,2,3,1,0,0,0,Sangat Tinggi (>15000),Baru Dipromosikan,40-49,21-30 km,0,3998.0,2.5,4.0,0.3333333333333333,3,7.419354838709677,0.23529411764705882,0.8823529411764706,1.3333333333333333,0,Risiko Sedang,-0.572319704487285,0.335959327803893
15,31,0.0,Travel_Rarely,616,Research & Development,12,3,Medical,1,4,Female,41,3,2,Healthcare Representative,4,Married,5855,17369,0,Y,Yes,11,3,3,80,2,10,2,1,9,7,8,5,Sedang (5000-10000),> 5 Tahun,30-39,11-20 km,1,2927.5,3.0,0.2222222222222222,9.0,0,10.909090909090908,0.18181818181818182,0.09090909090909091,36.0,0,Risiko Sedang,1.1059215851012536,-0.8862545226230312
16,38,0.0,Non-Travel,573,Research & Development,6,3,Medical,1,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Y,Yes,12,3,4,80,3,17,3,3,13,11,1,9,Sedang (5000-10000),1-2 Tahun,30-39,6-10 km,1,2664.5,3.25,1.0,1.625,0,1.9354838709677418,0.1111111111111111,0.2222222222222222,6.5,0,Risiko Sedang,-0.44010319321167024,0.07810369397671593
17,39,0.0,Travel_Rarely,408,Research & Development,2,4,Technical Degree,1,4,Female,80,2,2,Healthcare Representative,3,Single,4553,20978,1,Y,No,11,3,1,80,0,20,4,3,20,7,11,10,Rendah (< 5000),> 5 Tahun,30-39,0-5 km,0,2276.5,2.75,0.16666666666666666,10.0,3,0.6451612903225806,0.09523809523809523,0.0,30.0,0,Risiko Sedang,1.602268165701824,-2.091009137008064
18,54,0.0,Travel_Rarely,821,Research & Development,5,2,Medical,1,1,Male,86,3,5,Research Director,1,Married,19406,8509,4,Y,No,11,3,3,80,1,24,4,2,4,2,1,2,Sangat Tinggi (>15000),1-2 Tahun,50+,0-5 km,0,3881.2,1.75,2.5,0.8,2,2.380952380952381,0.2,0.8,0.8,0,Risiko Sedang,-0.5081288221147593,-0.043668165092914296
19,25,0.0,Travel_Frequently,772,Research & Development,2,1,Life Sciences,1,4,Male,77,4,2,Manufacturing Director,3,Divorced,5206,4973,1,Y,No,17,3,3,80,2,7,6,3,7,7,0,7,Sedang (5000-10000),Baru Dipromosikan,< 30,0-5 km,0,2603.0,3.25,2.0,3.5,3,0.6451612903225806,0.25,0.0,10.5,0,Risiko Sedang,-0.4794116949600873,0.3661409507393436
20,49,0.0,Travel_Rarely,1098,Research & Development,4,2,Medical,1,1,Male,85,2,5,Manager,3,Married,18711,12124,2,Y,No,13,3,3,80,1,23,2,4,1,0,0,0,Sangat Tinggi (>15000),Baru Dipromosikan,40-49,0-5 km,0,3742.2,2.75,5.0,0.3333333333333333,4,0.9756097560975611,0.20833333333333334,0.9166666666666666,1.0,0,Risiko Sedang,-0.5485452242814892,0.2653254484703993
21,24,0.0,Travel_Rarely,691,Research & Development,23,3,Medical,1,2,Male,89,4,1,Research Scientist,4,Married,2725,21630,1,Y,Yes,11,3,2,80,2,6,3,3,6,5,1,4,Rendah (< 5000),1-2 Tahun,< 30,21-30 km,1,2725.0,2.75,0.5,3.0,0,7.419354838709677,0.14285714285714285,0.0,12.0,0,Risiko Sedang,-0.48628744159887216,0.29384608338198775
22,40,0.0,Travel_Rarely,302,Research & Development,6,3,Life Sciences,1,2,Female,75,3,4,Manufacturing Director,3,Single,13237,20364,7,Y,No,15,3,3,80,0,22,3,3,20,6,5,13,Tinggi (10000-15000),3-5 Tahun,40-49,6-10 km,0,3309.25,2.75,0.6666666666666666,2.5,3,1.9354838709677418,0.17391304347826086,0.08695652173913043,7.5,0,Risiko Sedang,-0.11053990461692503,-0.9385077658097118
23,41,0.0,Non-Travel,267,Sales,10,2,Life Sciences,1,4,Male,56,3,2,Sales Executive,4,Single,6230,13430,7,Y,No,14,3,4,80,0,16,3,3,14,3,1,10,Sedang (5000-10000),1-2 Tahun,40-49,6-10 km,0,3115.0,3.75,1.0,1.75,3,3.225806451612903,0.11764705882352941,0.11764705882352941,7.0,0,Risiko Sedang,-0.4059181681781932,0.03826360031986464
24,32,0.0,Travel_Rarely,588,Sales,8,2,Technical Degree,1,3,Female,65,2,2,Sales Executive,2,Married,5228,24624,1,Y,Yes,11,3,4,80,0,13,2,3,13,12,11,9,Sedang (5000-10000),> 5 Tahun,30-39,6-10 km,1,2614.0,3.0,0.16666666666666666,6.5,0,2.5806451612903225,0.14285714285714285,0.0,13.0,0,Risiko Sedang,0.011955751898487608,-1.1615994794027502
25,24,1.0,Travel_Rarely,813,Research & Development,1,3,Medical,1,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0,Rendah (< 5000),1-2 Tahun,< 30,0-5 km,1,2293.0,2.25,0.3333333333333333,0.6666666666666666,0,0.47619047619047616,0.14285714285714285,0.5714285714285714,2.6666666666666665,0,Risiko Sedang,-0.5927000727131313,0.403855035210356
26,49,0.0,Travel_Rarely,722,Research & Development,25,4,Life Sciences,1,3,Female,84,3,1,Laboratory Technician,1,Married,3211,22102,1,Y,No,14,3,4,80,1,10,3,2,9,6,1,4,Rendah (< 5000),1-2 Tahun,40-49,21-30 km,0,3211.0,2.5,0.5,4.5,2,11.904761904761905,0.09090909090909091,0.09090909090909091,4.5,0,Risiko Sedang,-0.4730853667208951,0.1365898481399812
27,24,0.0,Travel_Rarely,350,Research & Development,21,2,Technical Degree,1,3,Male,57,2,1,Laboratory Technician,1,Divorced,2296,10036,0,Y,No,14,3,2,80,3,2,3,3,1,1,0,0,Rendah (< 5000),Baru Dipromosikan,< 30,21-30 km,0,2296.0,2.25,1.0,1.0,3,6.774193548387097,0.3333333333333333,0.3333333333333333,1.0,0,Risiko Sedang,-0.6111867986257691,0.5213310890256398
28,39,0.0,Travel_Rarely,412,Research & Development,13,4,Medical,1,3,Female,94,2,4,Manager,2,Divorced,17123,17334,6,Y,Yes,13,3,4,80,2,21,4,3,19,9,15,2,Sangat Tinggi (>15000),> 5 Tahun,30-39,11-20 km,1,4280.75,3.0,0.25,2.7142857142857144,0,4.193548387096774,0.18181818181818182,0.09090909090909091,5.428571428571429,0,Risiko Sedang,0.20433548674149252,-3.0931527749749472
29,59,0.0,Travel_Rarely,818,Human Resources,6,2,Medical,1,2,Male,52,3,1,Human Resources,3,Married,2267,25657,8,Y,No,17,3,4,80,0,7,2,2,2,2,2,2,Rendah (< 5000),1-2 Tahun,50+,6-10 km,0,2267.0,2.75,0.3333333333333333,0.2222222222222222,2,2.857142857142857,0.125,0.625,0.6666666666666666,0,Risiko Sedang,-0.5886570093880077,0.351451911842674
30,47,0.0,Travel_Rarely,1176,Human Resources,26,4,Life Sciences,1,4,Female,98,3,5,Manager,3,Married,19658,5220,3,Y,No,11,3,3,80,1,27,2,3,5,2,1,0,Sangat Tinggi (>15000),1-2 Tahun,40-49,21-30 km,0,3931.6,3.25,2.5,1.25,3,8.387096774193548,0.17857142857142858,0.7857142857142857,3.75,0,Risiko Sedang,-0.42433975881055586,-0.1095642119072938
31,36,0.0,Travel_Rarely,1425,Research & Development,14,1,Life Sciences,1,3,Male,68,3,2,Healthcare Representative,4,Married,6586,4821,0,Y,Yes,17,3,1,80,1,17,2,2,16,8,4,11,Sedang (5000-10000),3-5 Tahun,30-39,11-20 km,1,3293.0,2.5,0.4,16.0,0,6.666666666666666,0.1111111111111111,0.05555555555555555,64.0,0,Risiko Sedang,6.443737564103191,0.1856071636412664
32,30,0.0,Travel_Rarely,853,Research & Development,7,4,Life Sciences,1,3,Male,49,3,2,Laboratory Technician,3,Divorced,3491,11309,1,Y,No,13,3,1,80,3,10,4,2,10,7,8,9,Rendah (< 5000),> 5 Tahun,30-39,6-10 km,0,1745.5,2.25,0.2222222222222222,5.0,2,3.333333333333333,0.18181818181818182,0.0,15.0,0,Risiko Sedang,-0.2287596338052176,-0.37386047444563236
33,38,0.0,Travel_Rarely,433,Human Resources,1,3,Human Resources,1,3,Male,37,4,1,Human Resources,3,Married,2844,6004,1,Y,No,13,3,4,80,1,7,2,4,7,6,5,0,Rendah (< 5000),3-5 Tahun,30-39,0-5 km,0,2844.0,3.5,0.16666666666666666,3.5,4,0.24390243902439027,0.125,0.0,10.5,0,Risiko Sedang,-0.4342199895864668,0.050515293018962765
34,28,1.0,Travel_Frequently,1496,Sales,1,3,Technical Degree,1,1,Male,92,3,1,Sales Representative,3,Married,2909,15747,3,Y,No,15,3,4,80,1,5,3,4,3,2,1,2,Rendah (< 5000),1-2 Tahun,< 30,0-5 km,0,2909.0,3.0,0.5,0.75,4,0.24390243902439027,0.16666666666666666,0.3333333333333333,2.25,0,Risiko Sedang,-0.5837852507586202,0.3917294815309761
35,31,0.0,Travel_Rarely,192,Research & Development,2,4,Life Sciences,1,3,Male,32,3,1,Research Scientist,4,Divorced,2695,7747,0,Y,Yes,18,3,2,80,1,3,2,1,2,2,2,2,Rendah (< 5000),1-2 Tahun,30-39,0-5 km,1,2695.0,2.5,0.3333333333333333,2.0,0,1.8181818181818181,0.25,0.25,8.0,0,Risiko Sedang,-0.5646947660623078,0.38510997274557407
36,36,0.0,Non-Travel,845,Sales,1,5,Medical,1,4,Female,45,3,2,Sales Executive,4,Single,6653,15276,4,Y,No,15,3,2,80,0,7,6,3,1,0,0,0,Sedang (5000-10000),Baru Dipromosikan,30-39,0-5 km,0,3326.5,3.25,2.0,0.2,3,0.3225806451612903,0.25,0.75,0.8,0,Risiko Sedang,-0.5926687447397019,0.43448259989384636
37,32,0.0,Travel_Rarely,427,Research & Development,1,3,Medical,1,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Y,Yes,22,4,2,80,1,9,3,3,9,8,7,8,Sedang (5000-10000),> 5 Tahun,30-39,0-5 km,1,3081.0,2.5,0.25,4.5,0,0.3225806451612903,0.2,0.0,18.0,0,Risiko Sedang,-0.16390591249632316,-0.378691587297844
38,43,0.0,Travel_Rarely,990,Research & Development,27,3,Technical Degree,1,4,Male,87,4,1,Laboratory Technician,2,Divorced,4876,5855,5,Y,No,12,3,3,80,1,8,0,3,6,4,0,2,Rendah (< 5000),Baru Dipromosikan,40-49,21-30 km,0,4876.0,3.0,1.0,1.0,3,8.709677419354838,0.1111111111111111,0.2222222222222222,2.0,0,Risiko Sedang,-0.5615399249578622,0.29638108409402497
39,28,0.0,Non-Travel,120,Sales,4,3,Medical,1,2,Male,43,3,2,Sales Executive,3,Married,4221,8863,1,Y,No,15,3,2,80,0,5,3,4,5,4,0,4,Rendah (< 5000),Baru Dipromosikan,< 30,0-5 km,0,2110.5,2.75,2.0,2.5,4,0.9756097560975611,0.3333333333333333,0.0,7.5,0,Risiko Sedang,-0.5523396276965774,0.427467886013168
40,31,1.0,Travel_Rarely,249,Sales,6,4,Life Sciences,1,2,Male,76,1,2,Sales Executive,3,Married,6172,20739,4,Y,Yes,18,3,2,80,0,12,3,2,7,7,7,7,Sedang (5000-10000),> 5 Tahun,30-39,6-10 km,1,3086.0,2.25,0.25,1.4,0,2.857142857142857,0.15384615384615385,0.38461538461538464,4.2,0,Risiko Sedang,-0.49652546633329386,-0.11654525540748396
41,50,0.0,Travel_Rarely,316,Sales,8,4,Marketing,1,4,Male,54,3,1,Sales Representative,2,Married,3875,9983,7,Y,No,15,3,4,80,1,4,2,3,2,2,2,2,Rendah (< 5000),1-2 Tahun,50+,6-10 km,0,3875.0,3.25,0.3333333333333333,0.25,3,2.5806451612903225,0.2,0.4,0.5,0,Risiko Sedang,-0.5853217451929487,0.34455179304174915
42,39,0.0,Travel_Rarely,1132,Research & Development,1,3,Medical,1,3,Male,48,4,3,Healthcare Representative,4,Divorced,9613,10942,0,Y,No,17,3,1,80,3,19,5,2,18,10,3,7,Sedang (5000-10000),3-5 Tahun,30-39,0-5 km,0,3204.3333333333335,2.5,0.75,18.0,2,0.47619047619047616,0.15,0.05,72.0,0,Risiko Sedang,9.188982472925813,1.3529599292486085
43,35,0.0,Travel_Rarely,809,Research & Development,16,3,Medical,1,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,0,Y,No,13,3,3,80,1,6,5,3,5,4,0,3,Rendah (< 5000),Baru Dipromosikan,30-39,11-20 km,0,2426.0,2.25,1.0,5.0,3,5.161290322580645,0.14285714285714285,0.14285714285714285,10.0,0,Risiko Sedang,-0.4933819719012153,0.3455481571855879
44,32,0.0,Travel_Frequently,379,Sales,5,2,Life Sciences,1,2,Male,48,3,2,Sales Executive,2,Married,6524,8891,1,Y,No,14,3,4,80,1,10,3,3,10,8,5,3,Sedang (5000-10000),3-5 Tahun,30-39,0-5 km,0,3262.0,2.75,0.3333333333333333,5.0,3,1.6129032258064515,0.18181818181818182,0.0,10.0,0,Risiko Sedang,-0.33055508293686836,-0.18122519586854602
45,26,1.0,Travel_Rarely,1330,Research & Development,21,3,Medical,1,1,Male,37,3,1,Laboratory Technician,3,Divorced,2377,19373,1,Y,No,20,4,3,80,1,1,0,2,1,1,0,0,Rendah (< 5000),Baru Dipromosikan,< 30,21-30 km,0,2377.0,2.25,1.0,0.5,2,10.0,0.5,0.0,1.5,0,Risiko Sedang,-0.624198823563801,0.6005705778963703
46,30,0.0,Travel_Rarely,288,Research & Development,2,3,Life Sciences,1,3,Male,99,2,2,Healthcare Representative,4,Married,4152,15830,1,Y,No,19,3,1,80,3,11,3,3,11,10,10,8,Rendah (< 5000),> 5 Tahun,30-39,0-5 km,0,2076.0,2.75,0.18181818181818182,5.5,3,0.6451612903225806,0.16666666666666666,0.0,22.0,0,Risiko Sedang,0.08802011557711632,-0.7529105867726265
47,38,0.0,Travel_Rarely,345,Sales,10,2,Life Sciences,1,1,Female,100,3,2,Sales Executive,4,Married,5343,5982,1,Y,No,11,3,3,80,1,10,1,3,10,7,1,9,Sedang (5000-10000),1-2 Tahun,30-39,6-10 km,0,2671.5,2.75,1.0,5.0,3,3.225806451612903,0.18181818181818182,0.0,20.0,0,Risiko Sedang,-0.16538635915379832,0.14651983789753953
48,30,0.0,Travel_Rarely,330,Human Resources,1,3,Life Sciences,1,3,Male,46,3,1,Human Resources,3,Divorced,2064,15428,0,Y,No,21,4,1,80,1,6,3,4,5,3,1,3,Rendah (< 5000),1-2 Tahun,30-39,0-5 km,0,2064.0,2.75,0.5,5.0,4,0.24390243902439027,0.14285714285714285,0.14285714285714285,15.0,0,Risiko Sedang,-0.43349278351070086,0.32370615450064516
49,38,0.0,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,Y,No,21,4,2,80,0,10,2,3,9,7,1,8,Sedang (5000-10000),1-2 Tahun,30-39,21-30 km,0,3175.3333333333335,3.0,1.5,9.0,3,7.419354838709677,0.2727272727272727,0.09090909090909091,27.0,0,Risiko Sedang,0.41522989609527344,0.06648467984480368
50,21,0.0,Travel_Rarely,1343,Sales,22,1,Technical Degree,1,3,Male,49,3,1,Sales Representative,3,Single,3447,24444,1,Y,No,11,3,3,80,0,3,2,3,3,2,1,2,Rendah (< 5000),1-2 Tahun,< 30,21-30 km,0,3447.0,3.0,0.5,1.5,3,7.096774193548387,0.25,0.0,4.5,0,Risiko Sedang,-0.5798636560560166,0.4038148356062202
51,35,0.0,Travel_Rarely,950,Research & Development,7,3,Other,1,3,Male,59,3,3,Manufacturing Director,3,Single,10221,18869,3,Y,No,21,4,2,80,0,17,3,4,8,5,1,6,Tinggi (10000-15000),1-2 Tahun,30-39,6-10 km,0,3407.0,3.0,1.5,2.0,4,1.707317073170732,0.16666666666666666,0.5,6.0,0,Risiko Sedang,-0.4719815957984153,0.1297228606259366
52,50,0.0,Travel_Rarely,264,Sales,9,3,Marketing,1,3,Male,59,3,5,Manager,3,Married,19331,19519,4,Y,Yes,16,3,3,80,1,27,2,3,1,0,0,0,Sangat Tinggi (>15000),Baru Dipromosikan,50+,6-10 km,1,3866.2,3.0,5.0,0.2,0,2.903225806451613,0.17857142857142858,0.9285714285714286,0.6,0,Risiko Sedang,-0.537082939770087,0.21455204249439147
53,34,0.0,Travel_Frequently,426,Research & Development,10,4,Life Sciences,1,3,Male,42,4,2,Manufacturing Director,4,Divorced,4724,17000,1,Y,No,13,3,1,80,1,9,3,3,9,7,7,2,Rendah (< 5000),> 5 Tahun,30-39,6-10 km,0,2362.0,2.75,0.25,4.5,3,3.225806451612903,0.2,0.0,18.0,0,Risiko Sedang,-0.18729550386322993,-0.29637291532490884
54,26,0.0,Travel_Frequently,1479,Research & Development,1,3,Life Sciences,1,3,Female,84,3,2,Manufacturing Director,2,Divorced,6397,26767,1,Y,No,20,4,1,80,1,6,6,1,6,5,1,4,Sedang (5000-10000),1-2 Tahun,< 30,0-5 km,0,3198.5,1.75,1.0,3.0,1,0.9090909090909091,0.2857142857142857,0.0,6.0,0,Risiko Sedang,-0.5382797227006514,0.31061722012948334
55,31,1.0,Travel_Frequently,523,Research & Development,2,3,Life Sciences,1,2,Male,94,3,1,Laboratory Technician,4,Married,3722,21081,6,Y,Yes,13,3,3,80,1,7,2,1,2,2,2,2,Rendah (< 5000),1-2 Tahun,30-39,0-5 km,1,3722.0,2.5,0.3333333333333333,0.2857142857142857,0,1.8181818181818181,0.125,0.625,1.1428571428571428,0,Risiko Sedang,-0.5917060977245717,0.363223983494452
56,30,0.0,Travel_Rarely,241,Research & Development,7,3,Medical,1,2,Male,48,2,1,Research Scientist,2,Married,2141,5348,1,Y,No,12,3,2,80,1,6,3,2,6,4,1,1,Rendah (< 5000),1-2 Tahun,30-39,6-10 km,0,2141.0,2.0,0.5,3.0,2,3.333333333333333,0.14285714285714285,0.0,6.0,0,Risiko Sedang,-0.5496238323247674,0.33395760024772597
57,32,0.0,Travel_Rarely,1062,Research & Development,2,3,Medical,1,3,Female,75,3,1,Laboratory Technician,2,Married,2370,3956,1,Y,No,13,3,3,80,1,8,4,3,8,0,0,7,Rendah (< 5000),Baru Dipromosikan,30-39,0-5 km,0,2370.0,2.75,1.0,4.0,3,0.6451612903225806,0.1111111111111111,0.0,8.0,0,Risiko Sedang,-0.49744622880584227,0.31756711379806
58,32,0.0,Travel_Rarely,929,Sales,10,3,Marketing,1,4,Male,55,3,2,Sales Executive,4,Single,5396,21703,1,Y,No,12,3,4,80,0,10,2,2,10,7,0,8,Sedang (5000-10000),Baru Dipromosikan,30-39,6-10 km,0,2698.0,3.5,2.0,5.0,2,4.761904761904762,0.18181818181818182,0.0,20.0,0,Risiko Sedang,-0.1590840273024364,0.286519263358851
59,34,0.0,Travel_Rarely,1303,Research & Development,2,4,Life Sciences,1,4,Male,62,2,1,Research Scientist,3,Divorced,2768,8416,3,Y,No,12,3,3,80,1,14,3,3,7,3,5,7,Rendah (< 5000),3-5 Tahun,30-39,0-5 km,0,2768.0,3.25,0.16666666666666666,1.75,3,0.6451612903225806,0.06666666666666667,0.4666666666666667,5.25,0,Risiko Sedang,-0.5055471150171328,0.0733993585189617
60,33,0.0,Travel_Frequently,553,Research & Development,5,4,Life Sciences,1,4,Female,74,3,3,Manager,2,Married,11878,23364,6,Y,No,11,3,2,80,2,12,2,3,10,6,8,8,Tinggi (10000-15000),> 5 Tahun,30-39,0-5 km,0,3959.3333333333335,2.75,0.3333333333333333,1.4285714285714286,3,1.6129032258064515,0.23076923076923078,0.15384615384615385,2.857142857142857,0,Risiko Sedang,-0.43055299364648475,-0.4405254055413217
61,47,0.0,Travel_Rarely,983,Research & Development,2,2,Medical,1,1,Female,65,3,2,Manufacturing Director,4,Divorced,5070,7389,5,Y,No,13,3,3,80,3,20,2,3,5,0,0,4,Sedang (5000-10000),Baru Dipromosikan,40-49,0-5 km,0,2535.0,2.75,2.0,0.8333333333333334,3,0.6451612903225806,0.09523809523809523,0.7142857142857143,3.3333333333333335,0,Risiko Sedang,-0.5504823969199542,0.3083073431497674
62,35,0.0,Travel_Rarely,660,Sales,7,1,Life Sciences,1,4,Male,76,3,1,Sales Representative,3,Married,2404,16192,1,Y,No,13,3,1,80,1,1,3,3,1,0,0,0,Rendah (< 5000),Baru Dipromosikan,30-39,6-10 km,0,2404.0,2.75,1.0,0.5,3,2.258064516129032,0.5,0.0,1.5,0,Risiko Sedang,-0.6087617402229739,0.5449912750574679
63,30,0.0,Travel_Rarely,921,Research & Development,1,3,Life Sciences,1,4,Male,38,1,1,Laboratory Technician,3,Married,3833,24375,3,Y,No,21,4,3,80,2,7,2,3,2,2,0,2,Rendah (< 5000),Baru Dipromosikan,30-39,0-5 km,0,3833.0,3.25,1.0,0.5,3,0.3225806451612903,0.125,0.625,1.5,0,Risiko Sedang,-0.5870120060393355,0.4048965648601789
