EmployeeId,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,SalaryCategory,PromotionCategory,AgeGroup,DistanceCategory,OverTime_Numeric,Income_Level,Satisfaction_Index,Career_Progress,Stability_Factor,Work_Life_Balance_Impact,Distance_Strain,Promotion_Expectation,Experience_vs_Tenure,Loyalty_Index,Compensation_Satisfaction,Turnover_Risk,Career_Stagnation,Cluster,Cluster_Label,Dim1,Dim2
19,25,0.0,Travel_Frequently,772,Research & Development,2,1,Life Sciences,1,4,Male,77,4,2,Manufacturing Director,3,Divorced,5206,4973,1,Y,No,17,3,3,80,2,7,6,3,7,7,0,7,Sedang (5000-10000),Baru Dipromosikan,< 30,0-5 km,0,2603.0,3.25,2.0,3.5,3,0.6451612903225806,0.25,0.0,10.5,325.375,0.0,0.0,0,Risiko Rendah (Cluster 0),-26.36829450689242,-0.2446149283433227
20,49,0.0,Travel_Rarely,1098,Research & Development,4,2,Medical,1,1,Male,85,2,5,Manager,3,Married,18711,12124,2,Y,No,13,3,3,80,1,23,2,4,1,0,0,0,Sangat Tinggi (>15000),Baru Dipromosikan,40-49,0-5 km,0,3742.2,2.75,5.0,0.3333333333333333,4,0.9756097560975611,0.20833333333333334,0.9166666666666666,1.0,155.92499999999998,0.0,0.0,0,Risiko Rendah (Cluster 0),-26.36780153382594,-0.2755318912340415
21,24,0.0,Travel_Rarely,691,Research & Development,23,3,Medical,1,2,Male,89,4,1,Research Scientist,4,Married,2725,21630,1,Y,Yes,11,3,2,80,2,6,3,3,6,5,1,4,Rendah (< 5000),1-2 Tahun,< 30,21-30 km,1,2725.0,2.75,0.5,3.0,0,7.419354838709677,0.14285714285714285,0.0,12.0,389.2857142857143,1.8548387096774193,0.14285714285714285,0,Risiko Rendah (Cluster 0),-11.047476504608877,2.1756269976042364
22,40,0.0,Travel_Rarely,302,Research & Development,6,3,Life Sciences,1,2,Female,75,3,4,Manufacturing Director,3,Single,13237,20364,7,Y,No,15,3,3,80,0,22,3,3,20,6,5,13,Tinggi (10000-15000),3-5 Tahun,40-49,6-10 km,0,3309.25,2.75,0.6666666666666666,2.5,3,1.9354838709677418,0.17391304347826086,0.08695652173913043,7.5,143.8804347826087,0.0,0.23809523809523808,0,Risiko Rendah (Cluster 0),-26.36820277205892,-0.23745786069299157
23,41,0.0,Non-Travel,267,Sales,10,2,Life Sciences,1,4,Male,56,3,2,Sales Executive,4,Single,6230,13430,7,Y,No,14,3,4,80,0,16,3,3,14,3,1,10,Sedang (5000-10000),1-2 Tahun,40-49,6-10 km,0,3115.0,3.75,1.0,1.75,3,3.225806451612903,0.11764705882352941,0.11764705882352941,7.0,183.23529411764707,0.0,0.06666666666666667,0,Risiko Rendah (Cluster 0),-26.368201518971876,-0.24310049107257625
24,32,0.0,Travel_Rarely,588,Sales,8,2,Technical Degree,1,3,Female,65,2,2,Sales Executive,2,Married,5228,24624,1,Y,Yes,11,3,4,80,0,13,2,3,13,12,11,9,Sedang (5000-10000),> 5 Tahun,30-39,6-10 km,1,2614.0,3.0,0.16666666666666666,6.5,0,2.5806451612903225,0.14285714285714285,0.0,13.0,186.71428571428572,1.2903225806451613,0.7857142857142857,0,Risiko Rendah (Cluster 0),-20.95478747862518,3.0121900391568355
25,24,1.0,Travel_Rarely,813,Research & Development,1,3,Medical,1,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0,Rendah (< 5000),1-2 Tahun,< 30,0-5 km,1,2293.0,2.25,0.3333333333333333,0.6666666666666666,0,0.47619047619047616,0.14285714285714285,0.5714285714285714,2.6666666666666665,327.57142857142856,0.11904761904761904,0.6666666666666666,0,Risiko Rendah (Cluster 0),-26.354068407778666,-0.23684282209045507
26,49,0.0,Travel_Rarely,722,Research & Development,25,4,Life Sciences,1,3,Female,84,3,1,Laboratory Technician,1,Married,3211,22102,1,Y,No,14,3,4,80,1,10,3,2,9,6,1,4,Rendah (< 5000),1-2 Tahun,40-49,21-30 km,0,3211.0,2.5,0.5,4.5,2,11.904761904761905,0.09090909090909091,0.09090909090909091,4.5,291.90909090909093,0.0,0.1,0,Risiko Rendah (Cluster 0),-26.367045505370882,-0.23850236436339503
27,24,0.0,Travel_Rarely,350,Research & Development,21,2,Technical Degree,1,3,Male,57,2,1,Laboratory Technician,1,Divorced,2296,10036,0,Y,No,14,3,2,80,3,2,3,3,1,1,0,0,Rendah (< 5000),Baru Dipromosikan,< 30,21-30 km,0,2296.0,2.25,1.0,1.0,3,6.774193548387097,0.3333333333333333,0.3333333333333333,1.0,765.3333333333334,0.0,0.0,0,Risiko Rendah (Cluster 0),-26.367688203787754,-0.24080778170823838
28,39,0.0,Travel_Rarely,412,Research & Development,13,4,Medical,1,3,Female,94,2,4,Manager,2,Divorced,17123,17334,6,Y,Yes,13,3,4,80,2,21,4,3,19,9,15,2,Sangat Tinggi (>15000),> 5 Tahun,30-39,11-20 km,1,4280.75,3.0,0.25,2.7142857142857144,0,4.193548387096774,0.18181818181818182,0.09090909090909091,5.428571428571429,194.57954545454547,2.096774193548387,0.75,0,Risiko Rendah (Cluster 0),-4.195991350376959,5.672679625299681
29,59,0.0,Travel_Rarely,818,Human Resources,6,2,Medical,1,2,Male,52,3,1,Human Resources,3,Married,2267,25657,8,Y,No,17,3,4,80,0,7,2,2,2,2,2,2,Rendah (< 5000),1-2 Tahun,50+,6-10 km,0,2267.0,2.75,0.3333333333333333,0.2222222222222222,2,2.857142857142857,0.125,0.625,0.6666666666666666,283.375,0.0,0.6666666666666666,0,Risiko Rendah (Cluster 0),-26.36780573709242,-0.2460025438851077
30,47,0.0,Travel_Rarely,1176,Human Resources,26,4,Life Sciences,1,4,Female,98,3,5,Manager,3,Married,19658,5220,3,Y,No,11,3,3,80,1,27,2,3,5,2,1,0,Sangat Tinggi (>15000),1-2 Tahun,40-49,21-30 km,0,3931.6,3.25,2.5,1.25,3,8.387096774193548,0.17857142857142858,0.7857142857142857,3.75,140.4142857142857,0.0,0.16666666666666666,0,Risiko Rendah (Cluster 0),-26.367257564340978,-0.265086122424485
31,36,0.0,Travel_Rarely,1425,Research & Development,14,1,Life Sciences,1,3,Male,68,3,2,Healthcare Representative,4,Married,6586,4821,0,Y,Yes,17,3,1,80,1,17,2,2,16,8,4,11,Sedang (5000-10000),3-5 Tahun,30-39,11-20 km,1,3293.0,2.5,0.4,16.0,0,6.666666666666666,0.1111111111111111,0.05555555555555555,64.0,182.94444444444446,1.6666666666666665,0.23529411764705882,0,Risiko Rendah (Cluster 0),-15.025592579446103,6.3300379409395715
32,30,0.0,Travel_Rarely,853,Research & Development,7,4,Life Sciences,1,3,Male,49,3,2,Laboratory Technician,3,Divorced,3491,11309,1,Y,No,13,3,1,80,3,10,4,2,10,7,8,9,Rendah (< 5000),> 5 Tahun,30-39,6-10 km,0,1745.5,2.25,0.2222222222222222,5.0,2,3.333333333333333,0.18181818181818182,0.0,15.0,158.6818181818182,0.0,0.7272727272727273,0,Risiko Rendah (Cluster 0),-26.368012374600063,-0.2276916455015121
33,38,0.0,Travel_Rarely,433,Human Resources,1,3,Human Resources,1,3,Male,37,4,1,Human Resources,3,Married,2844,6004,1,Y,No,13,3,4,80,1,7,2,4,7,6,5,0,Rendah (< 5000),3-5 Tahun,30-39,0-5 km,0,2844.0,3.5,0.16666666666666666,3.5,4,0.24390243902439027,0.125,0.0,10.5,355.5,0.0,0.625,0,Risiko Rendah (Cluster 0),-26.368405710328854,-0.23945787240698588
34,28,1.0,Travel_Frequently,1496,Sales,1,3,Technical Degree,1,1,Male,92,3,1,Sales Representative,3,Married,2909,15747,3,Y,No,15,3,4,80,1,5,3,4,3,2,1,2,Rendah (< 5000),1-2 Tahun,< 30,0-5 km,0,2909.0,3.0,0.5,0.75,4,0.24390243902439027,0.16666666666666666,0.3333333333333333,2.25,484.8333333333333,0.0,0.25,0,Risiko Rendah (Cluster 0),-26.3682687867069,-0.24570325032002885
35,31,0.0,Travel_Rarely,192,Research & Development,2,4,Life Sciences,1,3,Male,32,3,1,Research Scientist,4,Divorced,2695,7747,0,Y,Yes,18,3,2,80,1,3,2,1,2,2,2,2,Rendah (< 5000),1-2 Tahun,30-39,0-5 km,1,2695.0,2.5,0.3333333333333333,2.0,0,1.8181818181818181,0.25,0.25,8.0,673.75,0.45454545454545453,0.6666666666666666,0,Risiko Rendah (Cluster 0),-26.058132013978323,-0.008055536910125649
36,36,0.0,Non-Travel,845,Sales,1,5,Medical,1,4,Female,45,3,2,Sales Executive,4,Single,6653,15276,4,Y,No,15,3,2,80,0,7,6,3,1,0,0,0,Sedang (5000-10000),Baru Dipromosikan,30-39,0-5 km,0,3326.5,3.25,2.0,0.2,3,0.3225806451612903,0.25,0.75,0.8,415.8125,0.0,0.0,0,Risiko Rendah (Cluster 0),-26.36819036497715,-0.2505298370523669
37,32,0.0,Travel_Rarely,427,Research & Development,1,3,Medical,1,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Y,Yes,22,4,2,80,1,9,3,3,9,8,7,8,Sedang (5000-10000),> 5 Tahun,30-39,0-5 km,1,3081.0,2.5,0.25,4.5,0,0.3225806451612903,0.2,0.0,18.0,308.1,0.08064516129032258,0.7,0,Risiko Rendah (Cluster 0),-26.361637188874905,-0.20592906521215373
38,43,0.0,Travel_Rarely,990,Research & Development,27,3,Technical Degree,1,4,Male,87,4,1,Laboratory Technician,2,Divorced,4876,5855,5,Y,No,12,3,3,80,1,8,0,3,6,4,0,2,Rendah (< 5000),Baru Dipromosikan,40-49,21-30 km,0,4876.0,3.0,1.0,1.0,3,8.709677419354838,0.1111111111111111,0.2222222222222222,2.0,541.7777777777778,0.0,0.0,0,Risiko Rendah (Cluster 0),-26.367481946403828,-0.24625452690235222
39,28,0.0,Non-Travel,120,Sales,4,3,Medical,1,2,Male,43,3,2,Sales Executive,3,Married,4221,8863,1,Y,No,15,3,2,80,0,5,3,4,5,4,0,4,Rendah (< 5000),Baru Dipromosikan,< 30,0-5 km,0,2110.5,2.75,2.0,2.5,4,0.9756097560975611,0.3333333333333333,0.0,7.5,351.75,0.0,0.0,0,Risiko Rendah (Cluster 0),-26.368249515425447,-0.24610029147959797
40,31,1.0,Travel_Rarely,249,Sales,6,4,Life Sciences,1,2,Male,76,1,2,Sales Executive,3,Married,6172,20739,4,Y,Yes,18,3,2,80,0,12,3,2,7,7,7,7,Sedang (5000-10000),> 5 Tahun,30-39,6-10 km,1,3086.0,2.25,0.25,1.4,0,2.857142857142857,0.15384615384615385,0.38461538461538464,4.2,237.3846153846154,0.9523809523809524,0.875,0,Risiko Rendah (Cluster 0),-24.020209052504377,0.3167712036122613
41,50,0.0,Travel_Rarely,316,Sales,8,4,Marketing,1,4,Male,54,3,1,Sales Representative,2,Married,3875,9983,7,Y,No,15,3,4,80,1,4,2,3,2,2,2,2,Rendah (< 5000),1-2 Tahun,50+,6-10 km,0,3875.0,3.25,0.3333333333333333,0.25,3,2.5806451612903225,0.2,0.4,0.5,775.0,0.0,0.6666666666666666,0,Risiko Rendah (Cluster 0),-26.36805449096886,-0.242773307726845
42,39,0.0,Travel_Rarely,1132,Research & Development,1,3,Medical,1,3,Male,48,4,3,Healthcare Representative,4,Divorced,9613,10942,0,Y,No,17,3,1,80,3,19,5,2,18,10,3,7,Sedang (5000-10000),3-5 Tahun,30-39,0-5 km,0,3204.3333333333335,2.5,0.75,18.0,2,0.47619047619047616,0.15,0.05,72.0,160.21666666666667,0.0,0.15789473684210525,0,Risiko Rendah (Cluster 0),-26.3705593343923,-0.18420709739670782
43,35,0.0,Travel_Rarely,809,Research & Development,16,3,Medical,1,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,0,Y,No,13,3,3,80,1,6,5,3,5,4,0,3,Rendah (< 5000),Baru Dipromosikan,30-39,11-20 km,0,2426.0,2.25,1.0,5.0,3,5.161290322580645,0.14285714285714285,0.14285714285714285,10.0,346.57142857142856,0.0,0.0,0,Risiko Rendah (Cluster 0),-26.36778579923707,-0.24333665040986002
44,32,0.0,Travel_Frequently,379,Sales,5,2,Life Sciences,1,2,Male,48,3,2,Sales Executive,2,Married,6524,8891,1,Y,No,14,3,4,80,1,10,3,3,10,8,5,3,Sedang (5000-10000),3-5 Tahun,30-39,0-5 km,0,3262.0,2.75,0.3333333333333333,5.0,3,1.6129032258064515,0.18181818181818182,0.0,10.0,296.54545454545456,0.0,0.45454545454545453,0,Risiko Rendah (Cluster 0),-26.368162856281195,-0.2365618873148231
45,26,1.0,Travel_Rarely,1330,Research & Development,21,3,Medical,1,1,Male,37,3,1,Laboratory Technician,3,Divorced,2377,19373,1,Y,No,20,4,3,80,1,1,0,2,1,1,0,0,Rendah (< 5000),Baru Dipromosikan,< 30,21-30 km,0,2377.0,2.25,1.0,0.5,2,10.0,0.5,0.0,1.5,1188.5,0.0,0.0,0,Risiko Rendah (Cluster 0),-26.367638305035907,-0.22606757687298074
46,30,0.0,Travel_Rarely,288,Research & Development,2,3,Life Sciences,1,3,Male,99,2,2,Healthcare Representative,4,Married,4152,15830,1,Y,No,19,3,1,80,3,11,3,3,11,10,10,8,Rendah (< 5000),> 5 Tahun,30-39,0-5 km,0,2076.0,2.75,0.18181818181818182,5.5,3,0.6451612903225806,0.16666666666666666,0.0,22.0,173.0,0.0,0.8333333333333334,0,Risiko Rendah (Cluster 0),-26.368502569416925,-0.22579525118924942
47,38,0.0,Travel_Rarely,345,Sales,10,2,Life Sciences,1,1,Female,100,3,2,Sales Executive,4,Married,5343,5982,1,Y,No,11,3,3,80,1,10,1,3,10,7,1,9,Sedang (5000-10000),1-2 Tahun,30-39,6-10 km,0,2671.5,2.75,1.0,5.0,3,3.225806451612903,0.18181818181818182,0.0,20.0,242.86363636363637,0.0,0.09090909090909091,0,Risiko Rendah (Cluster 0),-26.368198721355142,-0.2396088691912788
48,30,0.0,Travel_Rarely,330,Human Resources,1,3,Life Sciences,1,3,Male,46,3,1,Human Resources,3,Divorced,2064,15428,0,Y,No,21,4,1,80,1,6,3,4,5,3,1,3,Rendah (< 5000),1-2 Tahun,30-39,0-5 km,0,2064.0,2.75,0.5,5.0,4,0.24390243902439027,0.14285714285714285,0.14285714285714285,15.0,294.85714285714283,0.0,0.16666666666666666,0,Risiko Rendah (Cluster 0),-26.36831703238503,-0.24245596082737494
49,38,0.0,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,Y,No,21,4,2,80,0,10,2,3,9,7,1,8,Sedang (5000-10000),1-2 Tahun,30-39,21-30 km,0,3175.3333333333335,3.0,1.5,9.0,3,7.419354838709677,0.2727272727272727,0.09090909090909091,27.0,288.6666666666667,0.0,0.1,0,Risiko Rendah (Cluster 0),-26.368028848537346,-0.23293047767123007
50,21,0.0,Travel_Rarely,1343,Sales,22,1,Technical Degree,1,3,Male,49,3,1,Sales Representative,3,Single,3447,24444,1,Y,No,11,3,3,80,0,3,2,3,3,2,1,2,Rendah (< 5000),1-2 Tahun,< 30,21-30 km,0,3447.0,3.0,0.5,1.5,3,7.096774193548387,0.25,0.0,4.5,861.75,0.0,0.25,0,Risiko Rendah (Cluster 0),-26.367918736062585,-0.23648449566222612
51,35,0.0,Travel_Rarely,950,Research & Development,7,3,Other,1,3,Male,59,3,3,Manufacturing Director,3,Single,10221,18869,3,Y,No,21,4,2,80,0,17,3,4,8,5,1,6,Tinggi (10000-15000),1-2 Tahun,30-39,6-10 km,0,3407.0,3.0,1.5,2.0,4,1.707317073170732,0.16666666666666666,0.5,6.0,189.27777777777777,0.0,0.1111111111111111,0,Risiko Rendah (Cluster 0),-26.368109368882422,-0.24980471278145383
52,50,0.0,Travel_Rarely,264,Sales,9,3,Marketing,1,3,Male,59,3,5,Manager,3,Married,19331,19519,4,Y,Yes,16,3,3,80,1,27,2,3,1,0,0,0,Sangat Tinggi (>15000),Baru Dipromosikan,50+,6-10 km,1,3866.2,3.0,5.0,0.2,0,2.903225806451613,0.17857142857142858,0.9285714285714286,0.6,138.07857142857142,0.967741935483871,0.0,0,Risiko Rendah (Cluster 0),-23.88991995598912,-3.129307522378765
53,34,0.0,Travel_Frequently,426,Research & Development,10,4,Life Sciences,1,3,Male,42,4,2,Manufacturing Director,4,Divorced,4724,17000,1,Y,No,13,3,1,80,1,9,3,3,9,7,7,2,Rendah (< 5000),> 5 Tahun,30-39,6-10 km,0,2362.0,2.75,0.25,4.5,3,3.225806451612903,0.2,0.0,18.0,236.2,0.0,0.7,0,Risiko Rendah (Cluster 0),-26.368214230332065,-0.23105859132298506
54,26,0.0,Travel_Frequently,1479,Research & Development,1,3,Life Sciences,1,3,Female,84,3,2,Manufacturing Director,2,Divorced,6397,26767,1,Y,No,20,4,1,80,1,6,6,1,6,5,1,4,Sedang (5000-10000),1-2 Tahun,< 30,0-5 km,0,3198.5,1.75,1.0,3.0,1,0.9090909090909091,0.2857142857142857,0.0,6.0,456.92857142857144,0.0,0.14285714285714285,0,Risiko Rendah (Cluster 0),-26.367851789025575,-0.24241375119951145
55,31,1.0,Travel_Frequently,523,Research & Development,2,3,Life Sciences,1,2,Male,94,3,1,Laboratory Technician,4,Married,3722,21081,6,Y,Yes,13,3,3,80,1,7,2,1,2,2,2,2,Rendah (< 5000),1-2 Tahun,30-39,0-5 km,1,3722.0,2.5,0.3333333333333333,0.2857142857142857,0,1.8181818181818181,0.125,0.625,1.1428571428571428,465.25,0.45454545454545453,0.6666666666666666,0,Risiko Rendah (Cluster 0),-26.05192045796709,-0.2261336088820578
56,30,0.0,Travel_Rarely,241,Research & Development,7,3,Medical,1,2,Male,48,2,1,Research Scientist,2,Married,2141,5348,1,Y,No,12,3,2,80,1,6,3,2,6,4,1,1,Rendah (< 5000),1-2 Tahun,30-39,6-10 km,0,2141.0,2.0,0.5,3.0,2,3.333333333333333,0.14285714285714285,0.0,6.0,305.85714285714283,0.0,0.14285714285714285,0,Risiko Rendah (Cluster 0),-26.367814365688634,-0.2417905049397796
