EmployeeId,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,SalaryCategory,PromotionCategory,AgeGroup,DistanceCategory,OverTime_Numeric,Gender_Numeric,Income_Level,Income_Experience_Ratio,Income_Education_Ratio,StockOption_Income_Ratio,Salary_Hike_Effectiveness,Satisfaction_Index,Job_Environment_Balance,Work_Life_Balance_Impact,Overtime_Satisfaction_Interaction,Career_Progress,Career_Growth_Rate,Career_Stagnation,Promotion_Expectation,Internal_Mobility_Index,Stability_Factor,Loyalty_Index,Manager_Relationship_Tenure,Company_Experience_Ratio,Distance_Strain,Role_Complexity_Factor,Job_Intensity,Commute_Burden,Turnover_Risk_Score,Compensation_Satisfaction,OverTime_Numeric_WorkLifeBalance_product,OverTime_Numeric_WorkLifeBalance_ratio,YearsSinceLastPromotion_JobSatisfaction_product,YearsSinceLastPromotion_JobSatisfaction_ratio,DistanceFromHome_WorkLifeBalance_product,DistanceFromHome_WorkLifeBalance_ratio,MonthlyIncome_JobLevel_product,MonthlyIncome_JobLevel_ratio,YearsAtCompany_NumCompaniesWorked_product,YearsAtCompany_NumCompaniesWorked_ratio,Age_squared,Age_cubed,YearsAtCompany_squared,YearsAtCompany_cubed,DistanceFromHome_squared,DistanceFromHome_cubed,MonthlyIncome_squared,MonthlyIncome_cubed,Cluster,Cluster_Label,Dim1,Dim2,Component_1,Component_2,Component_3,Component_4,Component_5
15,31,0.0,Travel_Rarely,616,Research & Development,12,3,Medical,1,4,Female,41,3,2,Healthcare Representative,4,Married,5855,17369,0,Y,Yes,11,3,3,80,2,10,2,1,9,7,8,5,Sedang (5000-10000),> 5 Tahun,30-39,11-20 km,1,0,2927.5,532.2727272727273,1463.75,0.00034153005464480874,2.75,3.0,1.0,0,0.3225806451612903,0.2222222222222222,0.2,0.8,0.18181818181818182,0.7,9.0,36.0,0.5494505494505495,0.8181818181818182,10.909090909090908,6.0,3,18.0,1.3909090909090907,292.65,1,0.9090909090909091,32,1.9512195121951221,12,10.909090909090908,11710,2788.095238095238,0,90.0,961,29791,81,729,144,1728,34281025,200715401375,3,Risiko Rendah (Cluster 3),20.943858373593617,-1.3188578497843664,20.943858373593617,-1.3188578497843664,-0.06829606020525376,4.716285627696996,4.997336083195777
16,38,0.0,Non-Travel,573,Research & Development,6,3,Medical,1,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Y,Yes,12,3,4,80,3,17,3,3,13,11,1,9,Sedang (5000-10000),1-2 Tahun,30-39,6-10 km,1,0,2664.5,296.05555555555554,1332.25,0.0005628517823639775,3.0,3.25,0.5,0,0.29850746268656714,1.0,0.14285714285714285,0.07142857142857142,0.1111111111111111,0.7857142857142857,1.625,6.5,0.6870229007633588,0.7222222222222222,1.9354838709677418,0.6666666666666666,1,9.0,-0.36002304147465436,266.28000000000003,3,0.3225806451612903,4,0.24390243902439027,18,1.9354838709677418,10658,2537.6190476190477,91,1.8309859154929577,1444,54872,169,2197,36,216,28398241,151334226289,3,Risiko Rendah (Cluster 3),20.98224939474711,-0.4024723979705758,20.98224939474711,-0.4024723979705758,0.28617586683638074,5.415906328628807,9.919512852596354
17,39,0.0,Travel_Rarely,408,Research & Development,2,4,Technical Degree,1,4,Female,80,2,2,Healthcare Representative,3,Single,4553,20978,1,Y,No,11,3,1,80,0,20,4,3,20,7,11,10,Rendah (< 5000),> 5 Tahun,30-39,0-5 km,0,0,2276.5,216.8095238095238,910.6,0.0,2.75,2.75,0.75,3,0.0,0.16666666666666666,0.09523809523809523,0.5238095238095238,0.09523809523809523,0.3333333333333333,10.0,30.0,0.49751243781094523,0.9523809523809523,0.6451612903225806,1.3333333333333333,0,2.0,-0.786674347158218,227.45,0,0.0,33,3.5483870967741935,6,0.6451612903225806,9106,2168.095238095238,20,18.18181818181818,1521,59319,400,8000,4,8,20729809,94382820377,1,Risiko Sangat Rendah (Cluster 1),-22.139560517706087,-7.492142287521965,-22.139560517706087,-7.492142287521965,-0.023464518418096977,0.37075251657279346,0.21356889814549906
18,54,0.0,Travel_Rarely,821,Research & Development,5,2,Medical,1,1,Male,86,3,5,Research Director,1,Married,19406,8509,4,Y,No,11,3,3,80,1,24,4,2,4,2,1,2,Sangat Tinggi (>15000),1-2 Tahun,50+,0-5 km,0,1,3881.2,776.24,6468.666666666667,5.1527799247694134e-05,2.75,1.75,0.0625,2,0.0,2.5,1.0,0.2,0.2,0.4,0.8,0.8,0.48780487804878053,0.16,2.380952380952381,7.5,0,5.0,-0.4369047619047619,387.88,0,0.0,1,0.9090909090909091,10,2.380952380952381,97030,3805.0980392156866,16,0.9756097560975611,2916,157464,16,64,25,125,376592836,7308160575416,2,Risiko Sangat Rendah (Cluster 2),-1.9831177511990121,6.320857336712817,-1.9831177511990121,6.320857336712817,1.2313899563432373,-0.6115124275288831,-0.7368384947526542
20,49,0.0,Travel_Rarely,1098,Research & Development,4,2,Medical,1,1,Male,85,2,5,Manager,3,Married,18711,12124,2,Y,No,13,3,3,80,1,23,2,4,1,0,0,0,Sangat Tinggi (>15000),Baru Dipromosikan,40-49,0-5 km,0,1,3742.2,779.625,6237.0,5.344164172723386e-05,3.25,2.75,0.1875,4,0.0,5.0,2.5,0.0,0.20833333333333334,0.0,0.3333333333333333,1.0,0.0,0.041666666666666664,0.9756097560975611,2.5,0,4.0,-1.2774390243902438,373.98999999999995,0,0.0,0,0.0,16,0.9756097560975611,93555,3668.823529411765,2,0.47619047619047616,2401,117649,1,1,16,64,350101521,6550749559431,4,Risiko Sedang (Cluster 4),-12.977411502077565,13.814830034673097,-12.977411502077565,13.814830034673097,-12.914895318721909,-0.7787087514612843,-0.9238447741191536
21,24,0.0,Travel_Rarely,691,Research & Development,23,3,Medical,1,2,Male,89,4,1,Research Scientist,4,Married,2725,21630,1,Y,Yes,11,3,2,80,2,6,3,3,6,5,1,4,Rendah (< 5000),1-2 Tahun,< 30,21-30 km,1,1,2725.0,389.2857142857143,681.25,0.0007336757153338225,2.75,2.75,0.5,0,0.3508771929824561,0.5,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.7142857142857143,3.0,12.0,0.6557377049180328,0.8571428571428571,7.419354838709677,1.3333333333333333,4,34.5,0.5097926267281105,272.44,3,0.3225806451612903,4,0.24390243902439027,69,7.419354838709677,2725,2477.272727272727,6,5.454545454545454,576,13824,36,216,529,12167,7425625,20234828125,3,Risiko Rendah (Cluster 3),17.576755296943926,-2.0580508064015945,17.576755296943926,-2.0580508064015945,-0.6567689573435711,2.257373425092083,2.4802717235143676
22,40,0.0,Travel_Rarely,302,Research & Development,6,3,Life Sciences,1,2,Female,75,3,4,Manufacturing Director,3,Single,13237,20364,7,Y,No,15,3,3,80,0,22,3,3,20,6,5,13,Tinggi (10000-15000),3-5 Tahun,40-49,6-10 km,0,0,3309.25,575.5217391304348,3309.25,0.0,3.75,2.75,0.375,3,0.0,0.6666666666666666,0.19047619047619047,0.23809523809523808,0.17391304347826086,0.2857142857142857,2.5,7.5,0.6467661691542288,0.8695652173913043,1.9354838709677418,4.0,0,6.0,-0.9433563748079877,330.70500000000004,0,0.0,15,1.6129032258064515,18,1.9354838709677418,52948,3228.536585365854,140,2.8169014084507045,1600,64000,400,8000,36,216,175218169,2319362903053,1,Risiko Sangat Rendah (Cluster 1),-22.804552651352747,-7.540083191869158,-22.804552651352747,-7.540083191869158,0.28228194451164546,0.2665800315736071,0.13822860206847645
23,41,0.0,Non-Travel,267,Sales,10,2,Life Sciences,1,4,Male,56,3,2,Sales Executive,4,Single,6230,13430,7,Y,No,14,3,4,80,0,16,3,3,14,3,1,10,Sedang (5000-10000),1-2 Tahun,40-49,6-10 km,0,1,3115.0,366.47058823529414,2076.6666666666665,0.0,3.5,3.75,1.0,3,0.0,1.0,0.13333333333333333,0.06666666666666667,0.11764705882352941,0.2,1.75,7.0,0.7092198581560284,0.8235294117647058,3.225806451612903,2.0,0,10.0,-1.485752688172043,311.34000000000003,0,0.0,4,0.24390243902439027,30,3.225806451612903,12460,2966.6666666666665,98,1.971830985915493,1681,68921,196,2744,100,1000,38812900,241804367000,1,Risiko Sangat Rendah (Cluster 1),-23.499575996408144,-7.5648252921493215,-23.499575996408144,-7.5648252921493215,0.25814939616515215,0.26591447551267344,0.12509227996684041
24,32,0.0,Travel_Rarely,588,Sales,8,2,Technical Degree,1,3,Female,65,2,2,Sales Executive,2,Married,5228,24624,1,Y,Yes,11,3,4,80,0,13,2,3,13,12,11,9,Sedang (5000-10000),> 5 Tahun,30-39,6-10 km,1,0,2614.0,373.42857142857144,1742.6666666666667,0.0,2.75,3.0,0.375,0,0.3225806451612903,0.16666666666666666,0.14285714285714285,0.7857142857142857,0.14285714285714285,0.8571428571428571,6.5,13.0,0.6870229007633588,0.9285714285714286,2.5806451612903225,1.3333333333333333,2,12.0,0.5437788018433181,261.27,3,0.3225806451612903,22,5.238095238095238,24,2.5806451612903225,10456,2489.5238095238096,13,11.818181818181817,1024,32768,169,2197,64,512,27331984,142891612352,0,Risiko Tinggi (Cluster 0),34.036463184626456,-5.697363174738476,34.036463184626456,-5.697363174738476,-1.3149244435348915,-7.997363715753578,2.7799027892611963
25,24,1.0,Travel_Rarely,813,Research & Development,1,3,Medical,1,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0,Rendah (< 5000),1-2 Tahun,< 30,0-5 km,1,1,2293.0,327.57142857142856,573.25,0.00043591979075850045,4.0,2.25,0.5,0,0.425531914893617,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.14285714285714285,0.0,0.6666666666666666,2.6666666666666665,0.0,0.2857142857142857,0.47619047619047616,1.5,3,1.5,0.5892857142857144,229.24,2,0.47619047619047616,8,0.48780487804878053,2,0.47619047619047616,2293,2084.5454545454545,4,0.9523809523809523,576,13824,4,8,1,1,5257849,12056247757,5,Risiko Sangat Tinggi (Cluster 5),29.663655099008796,-2.1335619996034625,29.663655099008796,-2.1335619996034625,0.6650924254368883,13.67975790025578,-5.755502731593135
28,39,0.0,Travel_Rarely,412,Research & Development,13,4,Medical,1,3,Female,94,2,4,Manager,2,Divorced,17123,17334,6,Y,Yes,13,3,4,80,2,21,4,3,19,9,15,2,Sangat Tinggi (>15000),> 5 Tahun,30-39,11-20 km,1,0,4280.75,778.3181818181819,3424.6,0.000116795141322121,3.25,3.0,0.375,0,0.3225806451612903,0.25,0.2,0.75,0.18181818181818182,0.45,2.7142857142857144,5.428571428571429,0.10471204188481674,0.8636363636363636,4.193548387096774,2.6666666666666665,2,19.5,0.6693548387096775,427.86499999999995,3,0.3225806451612903,30,7.142857142857142,39,4.193548387096774,68492,4176.341463414635,114,3.114754098360656,1521,59319,361,6859,169,2197,293197129,5020414439867,3,Risiko Rendah (Cluster 3),20.19636308300916,-1.5536253597421283,20.19636308300916,-1.5536253597421283,-0.1841198885882735,5.323720888187627,4.964955902260049
29,59,0.0,Travel_Rarely,818,Human Resources,6,2,Medical,1,2,Male,52,3,1,Human Resources,3,Married,2267,25657,8,Y,No,17,3,4,80,0,7,2,2,2,2,2,2,Rendah (< 5000),1-2 Tahun,50+,6-10 km,0,1,2267.0,283.375,755.6666666666666,0.0,4.25,2.75,0.375,2,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.125,0.6666666666666666,0.2222222222222222,0.6666666666666666,0.9523809523809523,0.25,2.857142857142857,1.5,0,6.0,-0.42261904761904767,226.63000000000002,0,0.0,6,0.6451612903225806,12,2.857142857142857,2267,2060.9090909090905,16,0.2469135802469136,3481,205379,4,8,36,216,5139289,11650768163,1,Risiko Sangat Rendah (Cluster 1),-22.816368236426637,-6.7040743740595765,-22.816368236426637,-6.7040743740595765,-0.29076744579769775,0.12677776948247202,-0.14691426542648073
31,36,0.0,Travel_Rarely,1425,Research & Development,14,1,Life Sciences,1,3,Male,68,3,2,Healthcare Representative,4,Married,6586,4821,0,Y,Yes,17,3,1,80,1,17,2,2,16,8,4,11,Sedang (5000-10000),3-5 Tahun,30-39,11-20 km,1,1,3293.0,365.8888888888889,3293.0,0.0001518141794443601,4.25,2.5,0.75,0,0.3846153846153846,0.4,0.11764705882352941,0.23529411764705882,0.1111111111111111,0.47058823529411764,16.0,64.0,0.6832298136645962,0.8888888888888888,6.666666666666666,3.0,3,21.0,0.6519607843137254,329.13,2,0.47619047619047616,16,0.9756097560975611,28,6.666666666666666,13172,3136.190476190476,0,160.0,1296,46656,256,4096,196,2744,43375396,285670358056,3,Risiko Rendah (Cluster 3),19.99326211787635,-1.7243001513762368,19.99326211787635,-1.7243001513762368,-0.2874233966917919,4.72857074003232,4.430179106237595
32,30,0.0,Travel_Rarely,853,Research & Development,7,4,Life Sciences,1,3,Male,49,3,2,Laboratory Technician,3,Divorced,3491,11309,1,Y,No,13,3,1,80,3,10,4,2,10,7,8,9,Rendah (< 5000),> 5 Tahun,30-39,6-10 km,0,1,1745.5,317.3636363636364,698.2,0.000859106529209622,3.25,2.25,0.5625,2,0.0,0.2222222222222222,0.18181818181818182,0.7272727272727273,0.18181818181818182,0.6363636363636364,5.0,15.0,0.8910891089108911,0.9090909090909091,3.333333333333333,3.0,0,7.0,-0.06439393939393945,174.45,0,0.0,24,2.5806451612903225,14,3.333333333333333,6982,1662.3809523809523,10,9.09090909090909,900,27000,100,1000,49,343,12187081,42545099771,2,Risiko Sangat Rendah (Cluster 2),-1.8474351747425226,12.273296328488877,-1.8474351747425226,12.273296328488877,3.7442626762258087,-0.6790061118089543,0.5507069247088677
33,38,0.0,Travel_Rarely,433,Human Resources,1,3,Human Resources,1,3,Male,37,4,1,Human Resources,3,Married,2844,6004,1,Y,No,13,3,4,80,1,7,2,4,7,6,5,0,Rendah (< 5000),3-5 Tahun,30-39,0-5 km,0,1,2844.0,355.5,711.0,0.000351493848857645,3.25,3.5,0.5625,4,0.0,0.16666666666666666,0.125,0.625,0.125,0.75,3.5,10.5,0.0,0.875,0.24390243902439027,1.0,0,1.0,-1.100609756097561,284.33000000000004,0,0.0,15,1.6129032258064515,4,0.24390243902439027,2844,2585.454545454545,7,6.363636363636363,1444,54872,49,343,1,1,8088336,23003227584,2,Risiko Sangat Rendah (Cluster 2),-4.15846208144502,5.395984995277257,-4.15846208144502,5.395984995277257,10.35345285322009,-0.9847110750456793,-0.011998165085013961
34,28,1.0,Travel_Frequently,1496,Sales,1,3,Technical Degree,1,1,Male,92,3,1,Sales Representative,3,Married,2909,15747,3,Y,No,15,3,4,80,1,5,3,4,3,2,1,2,Rendah (< 5000),1-2 Tahun,< 30,0-5 km,0,1,2909.0,484.8333333333333,727.25,0.0003436426116838488,3.75,3.0,0.1875,4,0.0,0.5,0.25,0.25,0.16666666666666666,0.5,0.75,2.25,0.6451612903225806,0.5,0.24390243902439027,0.75,0,1.0,-1.225609756097561,290.85,0,0.0,3,0.3225806451612903,4,0.24390243902439027,2909,2644.5454545454545,9,0.9677419354838709,784,21952,9,27,1,1,8462281,24616775429,2,Risiko Sangat Rendah (Cluster 2),-1.5719840755155985,8.851175549842136,-1.5719840755155985,8.851175549842136,4.195718854617222,-0.920631440673981,-0.5790989818092567
35,31,0.0,Travel_Rarely,192,Research & Development,2,4,Life Sciences,1,3,Male,32,3,1,Research Scientist,4,Divorced,2695,7747,0,Y,Yes,18,3,2,80,1,3,2,1,2,2,2,2,Rendah (< 5000),1-2 Tahun,30-39,0-5 km,1,1,2695.0,673.75,539.0,0.000370919881305638,4.5,2.5,0.75,0,0.3846153846153846,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.25,0.6666666666666666,2.0,8.0,0.9523809523809523,0.5,1.8181818181818181,3.0,3,3.0,0.5984848484848486,269.46999999999997,1,0.9090909090909091,8,0.48780487804878053,2,1.8181818181818181,2695,2450.0,0,20.0,961,29791,4,8,4,8,7263025,19573852375,3,Risiko Rendah (Cluster 3),20.553639106322244,-1.4330718165086338,20.553639106322244,-1.4330718165086338,-0.15084111269632167,4.361629834407269,4.535945694066927
36,36,0.0,Non-Travel,845,Sales,1,5,Medical,1,4,Female,45,3,2,Sales Executive,4,Single,6653,15276,4,Y,No,15,3,2,80,0,7,6,3,1,0,0,0,Sedang (5000-10000),Baru Dipromosikan,30-39,0-5 km,0,0,3326.5,831.625,1108.8333333333333,0.0,3.75,3.25,1.0,3,0.0,2.0,1.0,0.0,0.25,0.0,0.2,0.8,0.0,0.125,0.3225806451612903,2.0,0,1.0,-1.592741935483871,332.58000000000004,0,0.0,0,0.0,3,0.3225806451612903,13306,3168.095238095238,4,0.24390243902439027,1296,46656,1,1,1,1,44262409,294477807077,4,Risiko Sedang (Cluster 4),-16.89589969632985,2.5786616435670164,-16.89589969632985,2.5786616435670164,-10.897278035559903,0.2454735122328458,-0.677300694876499
