EmployeeId,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,SalaryCategory,PromotionCategory,AgeGroup,DistanceCategory,OverTime_Numeric,Cluster,Cluster_Label,PCA1,PCA2
13,47,,Travel_Rarely,571,Sales,14,3,Medical,1,3,Female,78,3,2,Sales Executive,3,Married,4591,24200,3,Y,Yes,17,3,3,80,1,11,4,2,5,4,1,2,Rendah (< 5000),1-2 Tahun,40-49,11-20 km,1,0,Risiko Tinggi,-0.4924748718095249,-0.8426912744696482
14,42,0.0,Travel_Rarely,810,Research & Development,23,5,Life Sciences,1,1,Female,44,3,4,Research Director,4,Single,15992,15901,2,Y,No,14,3,2,80,0,16,2,3,1,0,0,0,Sangat Tinggi (>15000),Baru Dipromosikan,40-49,21-30 km,0,1,Risiko Sedang,0.20461410986961404,0.1619938571800163
15,31,0.0,Travel_Rarely,616,Research & Development,12,3,Medical,1,4,Female,41,3,2,Healthcare Representative,4,Married,5855,17369,0,Y,Yes,11,3,3,80,2,10,2,1,9,7,8,5,Sedang (5000-10000),> 5 Tahun,30-39,11-20 km,1,0,Risiko Tinggi,0.16089605477731583,-1.8020618464410636
16,38,0.0,Non-Travel,573,Research & Development,6,3,Medical,1,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Y,Yes,12,3,4,80,3,17,3,3,13,11,1,9,Sedang (5000-10000),1-2 Tahun,30-39,6-10 km,1,1,Risiko Sedang,0.6870725194131407,0.15589501137433365
17,39,0.0,Travel_Rarely,408,Research & Development,2,4,Technical Degree,1,4,Female,80,2,2,Healthcare Representative,3,Single,4553,20978,1,Y,No,11,3,1,80,0,20,4,3,20,7,11,10,Rendah (< 5000),> 5 Tahun,30-39,0-5 km,0,2,Risiko Rendah,1.5521996595980876,0.13495104204741365
18,54,0.0,Travel_Rarely,821,Research & Development,5,2,Medical,1,1,Male,86,3,5,Research Director,1,Married,19406,8509,4,Y,No,11,3,3,80,1,24,4,2,4,2,1,2,Sangat Tinggi (>15000),1-2 Tahun,50+,0-5 km,0,2,Risiko Rendah,0.9611359115413974,-0.2896142837551012
19,25,,Travel_Frequently,772,Research & Development,2,1,Life Sciences,1,4,Male,77,4,2,Manufacturing Director,3,Divorced,5206,4973,1,Y,No,17,3,3,80,2,7,6,3,7,7,0,7,Sedang (5000-10000),Baru Dipromosikan,< 30,0-5 km,0,1,Risiko Sedang,-0.13488365335285069,0.3670432262236142
20,49,0.0,Travel_Rarely,1098,Research & Development,4,2,Medical,1,1,Male,85,2,5,Manager,3,Married,18711,12124,2,Y,No,13,3,3,80,1,23,2,4,1,0,0,0,Sangat Tinggi (>15000),Baru Dipromosikan,40-49,0-5 km,0,1,Risiko Sedang,0.5192261422197931,1.6298773538741023
21,24,0.0,Travel_Rarely,691,Research & Development,23,3,Medical,1,2,Male,89,4,1,Research Scientist,4,Married,2725,21630,1,Y,Yes,11,3,2,80,2,6,3,3,6,5,1,4,Rendah (< 5000),1-2 Tahun,< 30,21-30 km,1,1,Risiko Sedang,-0.5385997437624739,-0.180213161222819
22,40,0.0,Travel_Rarely,302,Research & Development,6,3,Life Sciences,1,2,Female,75,3,4,Manufacturing Director,3,Single,13237,20364,7,Y,No,15,3,3,80,0,22,3,3,20,6,5,13,Tinggi (10000-15000),3-5 Tahun,40-49,6-10 km,0,2,Risiko Rendah,2.4807193784283466,0.2087348362320785
23,41,0.0,Non-Travel,267,Sales,10,2,Life Sciences,1,4,Male,56,3,2,Sales Executive,4,Single,6230,13430,7,Y,No,14,3,4,80,0,16,3,3,14,3,1,10,Sedang (5000-10000),1-2 Tahun,40-49,6-10 km,0,1,Risiko Sedang,0.918320104508278,0.061552365644266
24,32,0.0,Travel_Rarely,588,Sales,8,2,Technical Degree,1,3,Female,65,2,2,Sales Executive,2,Married,5228,24624,1,Y,Yes,11,3,4,80,0,13,2,3,13,12,11,9,Sedang (5000-10000),> 5 Tahun,30-39,6-10 km,1,1,Risiko Sedang,0.6797803785882096,0.14104674755315408
25,24,1.0,Travel_Rarely,813,Research & Development,1,3,Medical,1,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0,Rendah (< 5000),1-2 Tahun,< 30,0-5 km,1,0,Risiko Tinggi,-1.14465649328833,-0.5453501018627318
26,49,,Travel_Rarely,722,Research & Development,25,4,Life Sciences,1,3,Female,84,3,1,Laboratory Technician,1,Married,3211,22102,1,Y,No,14,3,4,80,1,10,3,2,9,6,1,4,Rendah (< 5000),1-2 Tahun,40-49,21-30 km,0,0,Risiko Tinggi,-0.09656639502443409,-1.1635967439336725
27,24,,Travel_Rarely,350,Research & Development,21,2,Technical Degree,1,3,Male,57,2,1,Laboratory Technician,1,Divorced,2296,10036,0,Y,No,14,3,2,80,3,2,3,3,1,1,0,0,Rendah (< 5000),Baru Dipromosikan,< 30,21-30 km,0,1,Risiko Sedang,-1.2546255496194059,-0.004774131436940832
28,39,0.0,Travel_Rarely,412,Research & Development,13,4,Medical,1,3,Female,94,2,4,Manager,2,Divorced,17123,17334,6,Y,Yes,13,3,4,80,2,21,4,3,19,9,15,2,Sangat Tinggi (>15000),> 5 Tahun,30-39,11-20 km,1,2,Risiko Rendah,2.762549823613757,0.15222454522529022
29,59,0.0,Travel_Rarely,818,Human Resources,6,2,Medical,1,2,Male,52,3,1,Human Resources,3,Married,2267,25657,8,Y,No,17,3,4,80,0,7,2,2,2,2,2,2,Rendah (< 5000),1-2 Tahun,50+,6-10 km,0,0,Risiko Tinggi,-1.1459478419412386,-0.6472730681113008
30,47,,Travel_Rarely,1176,Human Resources,26,4,Life Sciences,1,4,Female,98,3,5,Manager,3,Married,19658,5220,3,Y,No,11,3,3,80,1,27,2,3,5,2,1,0,Sangat Tinggi (>15000),1-2 Tahun,40-49,21-30 km,0,2,Risiko Rendah,1.1389204116986789,0.11179771350553644
31,36,0.0,Travel_Rarely,1425,Research & Development,14,1,Life Sciences,1,3,Male,68,3,2,Healthcare Representative,4,Married,6586,4821,0,Y,Yes,17,3,1,80,1,17,2,2,16,8,4,11,Sedang (5000-10000),3-5 Tahun,30-39,11-20 km,1,2,Risiko Rendah,1.2057041607610315,-1.006870886317197
32,30,0.0,Travel_Rarely,853,Research & Development,7,4,Life Sciences,1,3,Male,49,3,2,Laboratory Technician,3,Divorced,3491,11309,1,Y,No,13,3,1,80,3,10,4,2,10,7,8,9,Rendah (< 5000),> 5 Tahun,30-39,6-10 km,0,0,Risiko Tinggi,0.0660810182761633,-0.7822472152300153
33,38,0.0,Travel_Rarely,433,Human Resources,1,3,Human Resources,1,3,Male,37,4,1,Human Resources,3,Married,2844,6004,1,Y,No,13,3,4,80,1,7,2,4,7,6,5,0,Rendah (< 5000),3-5 Tahun,30-39,0-5 km,0,1,Risiko Sedang,-0.36671992634945383,1.291497882379592
34,28,1.0,Travel_Frequently,1496,Sales,1,3,Technical Degree,1,1,Male,92,3,1,Sales Representative,3,Married,2909,15747,3,Y,No,15,3,4,80,1,5,3,4,3,2,1,2,Rendah (< 5000),1-2 Tahun,< 30,0-5 km,0,1,Risiko Sedang,-0.900359951256013,1.3602694287106178
35,31,0.0,Travel_Rarely,192,Research & Development,2,4,Life Sciences,1,3,Male,32,3,1,Research Scientist,4,Divorced,2695,7747,0,Y,Yes,18,3,2,80,1,3,2,1,2,2,2,2,Rendah (< 5000),1-2 Tahun,30-39,0-5 km,1,0,Risiko Tinggi,-1.1224493437120833,-1.5078940185885326
36,36,0.0,Non-Travel,845,Sales,1,5,Medical,1,4,Female,45,3,2,Sales Executive,4,Single,6653,15276,4,Y,No,15,3,2,80,0,7,6,3,1,0,0,0,Sedang (5000-10000),Baru Dipromosikan,30-39,0-5 km,0,1,Risiko Sedang,-0.7927648492170387,0.5028685294063548
37,32,0.0,Travel_Rarely,427,Research & Development,1,3,Medical,1,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Y,Yes,22,4,2,80,1,9,3,3,9,8,7,8,Sedang (5000-10000),> 5 Tahun,30-39,0-5 km,1,1,Risiko Sedang,0.2359049385783506,0.35831001681282076
38,43,,Travel_Rarely,990,Research & Development,27,3,Technical Degree,1,4,Male,87,4,1,Laboratory Technician,2,Divorced,4876,5855,5,Y,No,12,3,3,80,1,8,0,3,6,4,0,2,Rendah (< 5000),Baru Dipromosikan,40-49,21-30 km,0,1,Risiko Sedang,-0.3051651210643903,-0.19878511702867135
39,28,0.0,Non-Travel,120,Sales,4,3,Medical,1,2,Male,43,3,2,Sales Executive,3,Married,4221,8863,1,Y,No,15,3,2,80,0,5,3,4,5,4,0,4,Rendah (< 5000),Baru Dipromosikan,< 30,0-5 km,0,1,Risiko Sedang,-0.48994000906683094,1.2807805097269043
40,31,1.0,Travel_Rarely,249,Sales,6,4,Life Sciences,1,2,Male,76,1,2,Sales Executive,3,Married,6172,20739,4,Y,Yes,18,3,2,80,0,12,3,2,7,7,7,7,Sedang (5000-10000),> 5 Tahun,30-39,6-10 km,1,0,Risiko Tinggi,-0.052553885688450264,-0.6557715240115845
41,50,0.0,Travel_Rarely,316,Sales,8,4,Marketing,1,4,Male,54,3,1,Sales Representative,2,Married,3875,9983,7,Y,No,15,3,4,80,1,4,2,3,2,2,2,2,Rendah (< 5000),1-2 Tahun,50+,6-10 km,0,1,Risiko Sedang,-0.9515559193941802,0.30040154849519596
42,39,0.0,Travel_Rarely,1132,Research & Development,1,3,Medical,1,3,Male,48,4,3,Healthcare Representative,4,Divorced,9613,10942,0,Y,No,17,3,1,80,3,19,5,2,18,10,3,7,Sedang (5000-10000),3-5 Tahun,30-39,0-5 km,0,2,Risiko Rendah,1.8006121550758145,-0.6731319019219066
43,35,0.0,Travel_Rarely,809,Research & Development,16,3,Medical,1,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,0,Y,No,13,3,3,80,1,6,5,3,5,4,0,3,Rendah (< 5000),Baru Dipromosikan,30-39,11-20 km,0,1,Risiko Sedang,-0.7016190118466524,0.0316615155399394
44,32,0.0,Travel_Frequently,379,Sales,5,2,Life Sciences,1,2,Male,48,3,2,Sales Executive,2,Married,6524,8891,1,Y,No,14,3,4,80,1,10,3,3,10,8,5,3,Sedang (5000-10000),3-5 Tahun,30-39,0-5 km,0,1,Risiko Sedang,0.41314751212376977,0.2880947985695417
45,26,1.0,Travel_Rarely,1330,Research & Development,21,3,Medical,1,1,Male,37,3,1,Laboratory Technician,3,Divorced,2377,19373,1,Y,No,20,4,3,80,1,1,0,2,1,1,0,0,Rendah (< 5000),Baru Dipromosikan,< 30,21-30 km,0,0,Risiko Tinggi,-1.2703271035050425,-0.984414372865575
46,30,0.0,Travel_Rarely,288,Research & Development,2,3,Life Sciences,1,3,Male,99,2,2,Healthcare Representative,4,Married,4152,15830,1,Y,No,19,3,1,80,3,11,3,3,11,10,10,8,Rendah (< 5000),> 5 Tahun,30-39,0-5 km,0,1,Risiko Sedang,0.2911577284385072,0.2617511628700502
47,38,,Travel_Rarely,345,Sales,10,2,Life Sciences,1,1,Female,100,3,2,Sales Executive,4,Married,5343,5982,1,Y,No,11,3,3,80,1,10,1,3,10,7,1,9,Sedang (5000-10000),1-2 Tahun,30-39,6-10 km,0,1,Risiko Sedang,0.28286021965468877,0.11182341398423479
48,30,,Travel_Rarely,330,Human Resources,1,3,Life Sciences,1,3,Male,46,3,1,Human Resources,3,Divorced,2064,15428,0,Y,No,21,4,1,80,1,6,3,4,5,3,1,3,Rendah (< 5000),1-2 Tahun,30-39,0-5 km,0,1,Risiko Sedang,-0.7204397667512229,1.3100941023752166
49,38,0.0,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,Y,No,21,4,2,80,0,10,2,3,9,7,1,8,Sedang (5000-10000),1-2 Tahun,30-39,21-30 km,0,1,Risiko Sedang,0.5960574308315513,-0.08137761319110587
50,21,0.0,Travel_Rarely,1343,Sales,22,1,Technical Degree,1,3,Male,49,3,1,Sales Representative,3,Single,3447,24444,1,Y,No,11,3,3,80,0,3,2,3,3,2,1,2,Rendah (< 5000),1-2 Tahun,< 30,21-30 km,0,1,Risiko Sedang,-0.8649353188176057,-0.07450631020625709
51,35,0.0,Travel_Rarely,950,Research & Development,7,3,Other,1,3,Male,59,3,3,Manufacturing Director,3,Single,10221,18869,3,Y,No,21,4,2,80,0,17,3,4,8,5,1,6,Tinggi (10000-15000),1-2 Tahun,30-39,6-10 km,0,1,Risiko Sedang,0.5570265739664454,1.275517787852062
52,50,,Travel_Rarely,264,Sales,9,3,Marketing,1,3,Male,59,3,5,Manager,3,Married,19331,19519,4,Y,Yes,16,3,3,80,1,27,2,3,1,0,0,0,Sangat Tinggi (>15000),Baru Dipromosikan,50+,6-10 km,1,1,Risiko Sedang,0.5644835418116371,0.5765949456267816
53,34,,Travel_Frequently,426,Research & Development,10,4,Life Sciences,1,3,Male,42,4,2,Manufacturing Director,4,Divorced,4724,17000,1,Y,No,13,3,1,80,1,9,3,3,9,7,7,2,Rendah (< 5000),> 5 Tahun,30-39,6-10 km,0,1,Risiko Sedang,0.08150791717662986,0.11667129915016466
54,26,0.0,Travel_Frequently,1479,Research & Development,1,3,Life Sciences,1,3,Female,84,3,2,Manufacturing Director,2,Divorced,6397,26767,1,Y,No,20,4,1,80,1,6,6,1,6,5,1,4,Sedang (5000-10000),1-2 Tahun,< 30,0-5 km,0,0,Risiko Tinggi,-0.18220557006604787,-1.445114626432638
55,31,1.0,Travel_Frequently,523,Research & Development,2,3,Life Sciences,1,2,Male,94,3,1,Laboratory Technician,4,Married,3722,21081,6,Y,Yes,13,3,3,80,1,7,2,1,2,2,2,2,Rendah (< 5000),1-2 Tahun,30-39,0-5 km,1,0,Risiko Tinggi,-1.0126079611851924,-1.4879360233817935
56,30,,Travel_Rarely,241,Research & Development,7,3,Medical,1,2,Male,48,2,1,Research Scientist,2,Married,2141,5348,1,Y,No,12,3,2,80,1,6,3,2,6,4,1,1,Rendah (< 5000),1-2 Tahun,30-39,6-10 km,0,0,Risiko Tinggi,-0.6170769006083253,-0.723672795963112
57,32,0.0,Travel_Rarely,1062,Research & Development,2,3,Medical,1,3,Female,75,3,1,Laboratory Technician,2,Married,2370,3956,1,Y,No,13,3,3,80,1,8,4,3,8,0,0,7,Rendah (< 5000),Baru Dipromosikan,30-39,0-5 km,0,1,Risiko Sedang,-0.3012346590249289,0.3123542897270117
58,32,0.0,Travel_Rarely,929,Sales,10,3,Marketing,1,4,Male,55,3,2,Sales Executive,4,Single,5396,21703,1,Y,No,12,3,4,80,0,10,2,2,10,7,0,8,Sedang (5000-10000),Baru Dipromosikan,30-39,6-10 km,0,0,Risiko Tinggi,0.26780696139678384,-0.833758985594764
59,34,0.0,Travel_Rarely,1303,Research & Development,2,4,Life Sciences,1,4,Male,62,2,1,Research Scientist,3,Divorced,2768,8416,3,Y,No,12,3,3,80,1,14,3,3,7,3,5,7,Rendah (< 5000),3-5 Tahun,30-39,0-5 km,0,1,Risiko Sedang,-0.3956366140155183,0.31966485006584455
60,33,0.0,Travel_Frequently,553,Research & Development,5,4,Life Sciences,1,4,Female,74,3,3,Manager,2,Married,11878,23364,6,Y,No,11,3,2,80,2,12,2,3,10,6,8,8,Tinggi (10000-15000),> 5 Tahun,30-39,0-5 km,0,2,Risiko Rendah,0.9857772706914164,0.3921406664730277
61,47,0.0,Travel_Rarely,983,Research & Development,2,2,Medical,1,1,Female,65,3,2,Manufacturing Director,4,Divorced,5070,7389,5,Y,No,13,3,3,80,3,20,2,3,5,0,0,4,Sedang (5000-10000),Baru Dipromosikan,40-49,0-5 km,0,1,Risiko Sedang,-0.4215468518976569,0.38085350190614986
62,35,,Travel_Rarely,660,Sales,7,1,Life Sciences,1,4,Male,76,3,1,Sales Representative,3,Married,2404,16192,1,Y,No,13,3,1,80,1,1,3,3,1,0,0,0,Rendah (< 5000),Baru Dipromosikan,30-39,6-10 km,0,1,Risiko Sedang,-1.2457878065040955,0.2951350157430088
63,30,0.0,Travel_Rarely,921,Research & Development,1,3,Life Sciences,1,4,Male,38,1,1,Laboratory Technician,3,Married,3833,24375,3,Y,No,21,4,3,80,2,7,2,3,2,2,0,2,Rendah (< 5000),Baru Dipromosikan,30-39,0-5 km,0,1,Risiko Sedang,-0.9574045967387467,0.4484905256490978
64,58,0.0,Travel_Rarely,1145,Research & Development,9,3,Medical,1,2,Female,75,2,1,Research Scientist,2,Married,3346,11873,4,Y,Yes,20,4,2,80,1,9,3,2,1,0,0,0,Rendah (< 5000),Baru Dipromosikan,50+,6-10 km,1,0,Risiko Tinggi,-1.164070606228212,-0.663357671481912
65,37,1.0,Travel_Rarely,625,Sales,1,4,Life Sciences,1,1,Male,46,2,3,Sales Executive,3,Married,10609,14922,5,Y,No,11,3,3,80,0,17,2,1,14,1,11,7,Tinggi (10000-15000),> 5 Tahun,30-39,0-5 km,0,2,Risiko Rendah,1.3476456616083583,-1.5155793340265509
66,45,,Travel_Rarely,1005,Research & Development,28,2,Technical Degree,1,4,Female,48,2,4,Research Director,2,Single,16704,17119,1,Y,No,11,3,3,80,0,21,2,3,21,6,8,6,Sangat Tinggi (>15000),> 5 Tahun,40-49,21-30 km,0,2,Risiko Rendah,2.987036097810165,-0.24582825978167017
67,52,,Non-Travel,585,Sales,29,4,Life Sciences,1,1,Male,40,3,1,Sales Representative,4,Divorced,3482,19788,2,Y,No,15,3,2,80,2,16,3,2,9,8,0,0,Rendah (< 5000),Baru Dipromosikan,50+,21-30 km,0,0,Risiko Tinggi,-0.07331209847205494,-1.3052082319713452
68,38,0.0,Travel_Rarely,1380,Research & Development,9,2,Life Sciences,1,3,Female,75,3,1,Laboratory Technician,4,Single,2288,6319,1,Y,No,12,3,3,80,0,2,3,3,2,2,2,1,Rendah (< 5000),1-2 Tahun,30-39,6-10 km,0,1,Risiko Sedang,-1.1250007451457091,0.21121519574409933
69,43,1.0,Travel_Rarely,1372,Sales,9,3,Marketing,1,1,Female,85,1,2,Sales Executive,3,Single,5346,9489,8,Y,No,13,3,2,80,0,7,2,2,4,3,1,3,Sedang (5000-10000),1-2 Tahun,40-49,6-10 km,0,0,Risiko Tinggi,-0.5465408277705414,-0.6924233526935464
70,27,,Travel_Rarely,728,Sales,23,1,Medical,1,2,Female,36,2,2,Sales Representative,3,Married,3540,7018,1,Y,No,21,4,4,80,1,9,5,3,9,8,5,8,Rendah (< 5000),3-5 Tahun,< 30,21-30 km,0,1,Risiko Sedang,-0.04416702467572048,-0.19770532429873888
71,52,0.0,Travel_Frequently,322,Research & Development,28,2,Medical,1,4,Female,59,4,4,Manufacturing Director,3,Married,13247,9731,2,Y,Yes,11,3,2,80,1,24,3,2,5,3,0,2,Tinggi (10000-15000),Baru Dipromosikan,50+,21-30 km,1,0,Risiko Tinggi,0.4323860395495923,-1.0068889878165932
72,49,,Travel_Rarely,271,Research & Development,3,2,Medical,1,3,Female,43,2,2,Laboratory Technician,1,Married,4789,23070,4,Y,No,25,4,1,80,1,10,3,3,3,2,1,2,Rendah (< 5000),1-2 Tahun,40-49,0-5 km,0,1,Risiko Sedang,-0.7164987432192332,0.4373061604015713
73,44,0.0,Travel_Rarely,1488,Sales,1,5,Marketing,1,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Y,Yes,21,4,3,80,1,9,2,2,4,3,1,3,Sedang (5000-10000),1-2 Tahun,40-49,0-5 km,1,0,Risiko Tinggi,-0.5308155532982677,-0.4657726823692701
74,59,0.0,Travel_Rarely,142,Research & Development,3,3,Life Sciences,1,3,Male,70,2,1,Research Scientist,4,Married,2177,8456,3,Y,No,17,3,1,80,1,7,6,3,1,0,0,0,Rendah (< 5000),Baru Dipromosikan,50+,0-5 km,0,1,Risiko Sedang,-1.2716221379247161,0.3683976205269018
75,58,,Travel_Rarely,605,Sales,21,3,Life Sciences,1,4,Female,72,3,4,Manager,4,Married,17875,11761,4,Y,Yes,13,3,3,80,1,29,2,2,1,0,0,0,Sangat Tinggi (>15000),Baru Dipromosikan,50+,21-30 km,1,0,Risiko Tinggi,0.3854188237019057,-0.7005381352887907
76,31,,Travel_Rarely,471,Research & Development,4,3,Medical,1,1,Female,62,4,1,Laboratory Technician,3,Divorced,3978,16031,8,Y,No,12,3,2,80,1,4,0,2,2,2,2,2,Rendah (< 5000),1-2 Tahun,30-39,0-5 km,0,0,Risiko Tinggi,-0.9628173523444207,-0.566535223249991
77,42,0.0,Non-Travel,926,Research & Development,21,2,Medical,1,3,Female,36,3,2,Manufacturing Director,3,Divorced,5265,16439,2,Y,No,16,3,2,80,1,11,5,3,5,3,0,2,Sedang (5000-10000),Baru Dipromosikan,40-49,21-30 km,0,1,Risiko Sedang,-0.4001311953397669,-0.04918703121306711
78,45,0.0,Travel_Rarely,561,Sales,2,3,Other,1,4,Male,61,3,2,Sales Executive,2,Married,4805,16177,0,Y,No,19,3,2,80,1,9,3,4,8,7,3,7,Rendah (< 5000),3-5 Tahun,40-49,0-5 km,0,1,Risiko Sedang,-0.020080758384449338,1.306286730274235
79,31,,Travel_Rarely,1079,Sales,10,2,Medical,1,3,Female,86,3,2,Sales Executive,4,Divorced,6583,20115,2,Y,Yes,11,3,4,80,1,8,2,3,5,2,1,4,Sedang (5000-10000),1-2 Tahun,30-39,6-10 km,1,1,Risiko Sedang,-0.2602572876196643,0.2203061788803039
80,34,,Travel_Rarely,1130,Research & Development,3,3,Life Sciences,1,4,Female,66,3,2,Research Scientist,2,Divorced,5433,19332,1,Y,No,12,3,3,80,1,11,2,3,11,8,7,9,Sedang (5000-10000),> 5 Tahun,30-39,0-5 km,0,1,Risiko Sedang,0.4317419209226062,0.29750345193361316
81,21,1.0,Travel_Rarely,1427,Research & Development,18,1,Other,1,4,Female,65,3,1,Research Scientist,4,Single,2693,8870,1,Y,No,19,3,1,80,0,1,3,2,1,0,0,0,Rendah (< 5000),Baru Dipromosikan,< 30,11-20 km,0,0,Risiko Tinggi,-1.238152022018272,-0.9243432257639197
82,23,0.0,Travel_Rarely,885,Research & Development,4,3,Medical,1,1,Male,58,4,1,Research Scientist,1,Married,2819,8544,2,Y,No,16,3,1,80,1,5,3,4,3,2,0,2,Rendah (< 5000),Baru Dipromosikan,< 30,0-5 km,0,1,Risiko Sedang,-0.9065420126733639,1.3218911936239626
83,47,,Travel_Rarely,207,Research & Development,9,4,Life Sciences,1,2,Female,64,3,1,Laboratory Technician,3,Single,2105,5411,4,Y,No,12,3,3,80,0,7,2,3,2,2,2,0,Rendah (< 5000),1-2 Tahun,40-49,6-10 km,0,1,Risiko Sedang,-1.1427517615451288,0.22495988960958016
