EmployeeId,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,SalaryCategory,PromotionCategory,AgeGroup,DistanceCategory,SalaryPerLevel,SatisfactionIndex,PromotionRatio,CareerProgressIndex,DistanceRiskIndex,AdjustedWorkLifeBalance,JobStabilityIndex,Cluster,RiskLevel,AttritionRiskScore,RiskCategory
15,31,0.0,Travel_Rarely,616,Research & Development,12,3,Medical,1,4,Female,41,3,2,Healthcare Representative,4,Married,5855,17369,0,Y,1,11,3,3,80,2,10,2,1,9,7,8,5,Sedang (5000-10000),> 5 Tahun,30-39,11-20 km,2927.5,3.0,0.8888888888888888,0.24166666666666667,2.5649493574615367,0.6666666666666666,0.4770016339869281,1,Risiko Sangat Tinggi,31.921824104234524,Sangat Tinggi
16,38,0.0,Non-Travel,573,Research & Development,6,3,Medical,1,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Y,1,12,3,4,80,3,17,3,3,13,11,1,9,Sedang (5000-10000),1-2 Tahun,30-39,6-10 km,2664.5,3.25,0.07692307692307693,0.3333333333333333,1.9459101490553132,2.0,0.421936274509804,1,Risiko Sangat Tinggi,31.921824104234524,Sangat Tinggi
17,39,0.0,Travel_Rarely,408,Research & Development,2,4,Technical Degree,1,4,Female,80,2,2,Healthcare Representative,3,Single,4553,20978,1,Y,0,11,3,1,80,0,20,4,3,20,7,11,10,Rendah (< 5000),> 5 Tahun,30-39,0-5 km,2276.5,2.75,0.55,0.4166666666666667,1.0986122886681098,3.0,0.5915032679738562,0,Risiko Sedang,10.785619174434089,Sedang
18,54,0.0,Travel_Rarely,821,Research & Development,5,2,Medical,1,1,Male,86,3,5,Research Director,1,Married,19406,8509,4,Y,0,11,3,3,80,1,24,4,2,4,2,1,2,Sangat Tinggi (>15000),1-2 Tahun,50+,0-5 km,3881.2,1.75,0.25,0.5666666666666668,1.791759469228055,2.0,0.221078431372549,0,Risiko Sedang,10.785619174434089,Sedang
20,49,0.0,Travel_Rarely,1098,Research & Development,4,2,Medical,1,1,Male,85,2,5,Manager,3,Married,18711,12124,2,Y,0,13,3,3,80,1,23,2,4,1,0,0,0,Sangat Tinggi (>15000),Baru Dipromosikan,40-49,0-5 km,3742.2,2.75,0.0,0.5333333333333333,1.6094379124341003,4.0,0.20069444444444443,0,Risiko Sedang,10.785619174434089,Sedang
21,24,0.0,Travel_Rarely,691,Research & Development,23,3,Medical,1,2,Male,89,4,1,Research Scientist,4,Married,2725,21630,1,Y,1,11,3,2,80,2,6,3,3,6,5,1,4,Rendah (< 5000),1-2 Tahun,< 30,21-30 km,2725.0,2.75,0.16666666666666666,0.10000000000000002,3.1780538303479458,2.0,0.3879901960784314,1,Risiko Sangat Tinggi,31.921824104234524,Sangat Tinggi
22,40,0.0,Travel_Rarely,302,Research & Development,6,3,Life Sciences,1,2,Female,75,3,4,Manufacturing Director,3,Single,13237,20364,7,Y,0,15,3,3,80,0,22,3,3,20,6,5,13,Tinggi (10000-15000),3-5 Tahun,40-49,6-10 km,3309.25,2.75,0.25,0.6,1.9459101490553132,3.0,0.4550653594771241,0,Risiko Sedang,10.785619174434089,Sedang
23,41,0.0,Non-Travel,267,Sales,10,2,Life Sciences,1,4,Male,56,3,2,Sales Executive,4,Single,6230,13430,7,Y,0,14,3,4,80,0,16,3,3,14,3,1,10,Sedang (5000-10000),1-2 Tahun,40-49,6-10 km,3115.0,3.75,0.07142857142857142,0.3333333333333333,2.3978952727983707,3.0,0.33178104575163403,0,Risiko Sedang,10.785619174434089,Sedang
24,32,0.0,Travel_Rarely,588,Sales,8,2,Technical Degree,1,3,Female,65,2,2,Sales Executive,2,Married,5228,24624,1,Y,1,11,3,4,80,0,13,2,3,13,12,11,9,Sedang (5000-10000),> 5 Tahun,30-39,6-10 km,2614.0,3.0,0.8461538461538461,0.3,2.1972245773362196,2.0,0.6024918300653594,1,Risiko Sangat Tinggi,31.921824104234524,Sangat Tinggi
25,24,1.0,Travel_Rarely,813,Research & Development,1,3,Medical,1,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Y,1,16,3,1,80,1,6,2,2,2,0,2,0,Rendah (< 5000),1-2 Tahun,< 30,0-5 km,2293.0,2.25,1.0,0.06666666666666667,0.6931471805599453,1.3333333333333333,0.20694444444444443,1,Risiko Sangat Tinggi,31.921824104234524,Sangat Tinggi
28,39,0.0,Travel_Rarely,412,Research & Development,13,4,Medical,1,3,Female,94,2,4,Manager,2,Divorced,17123,17334,6,Y,1,13,3,4,80,2,21,4,3,19,9,15,2,Sangat Tinggi (>15000),> 5 Tahun,30-39,11-20 km,4280.75,3.0,0.7894736842105263,0.5833333333333334,2.6390573296152584,2.0,0.3564950980392157,1,Risiko Sangat Tinggi,31.921824104234524,Sangat Tinggi
29,59,0.0,Travel_Rarely,818,Human Resources,6,2,Medical,1,2,Male,52,3,1,Human Resources,3,Married,2267,25657,8,Y,0,17,3,4,80,0,7,2,2,2,2,2,2,Rendah (< 5000),1-2 Tahun,50+,6-10 km,2267.0,2.75,1.0,0.07500000000000001,1.9459101490553132,2.0,0.09746732026143791,0,Risiko Sedang,10.785619174434089,Sedang
31,36,0.0,Travel_Rarely,1425,Research & Development,14,1,Life Sciences,1,3,Male,68,3,2,Healthcare Representative,4,Married,6586,4821,0,Y,1,17,3,1,80,1,17,2,2,16,8,4,11,Sedang (5000-10000),3-5 Tahun,30-39,11-20 km,3293.0,2.5,0.25,0.3583333333333334,2.70805020110221,1.3333333333333333,0.6228758169934641,1,Risiko Sangat Tinggi,31.921824104234524,Sangat Tinggi
32,30,0.0,Travel_Rarely,853,Research & Development,7,4,Life Sciences,1,3,Male,49,3,2,Laboratory Technician,3,Divorced,3491,11309,1,Y,0,13,3,1,80,3,10,4,2,10,7,8,9,Rendah (< 5000),> 5 Tahun,30-39,6-10 km,1745.5,2.25,0.8,0.25,2.0794415416798357,2.0,0.514297385620915,0,Risiko Sedang,10.785619174434089,Sedang
33,38,0.0,Travel_Rarely,433,Human Resources,1,3,Human Resources,1,3,Male,37,4,1,Human Resources,3,Married,2844,6004,1,Y,0,13,3,4,80,1,7,2,4,7,6,5,0,Rendah (< 5000),3-5 Tahun,30-39,0-5 km,2844.0,3.5,0.7142857142857143,0.11666666666666668,0.6931471805599453,4.0,0.34930555555555554,0,Risiko Sedang,10.785619174434089,Sedang
34,28,1.0,Travel_Frequently,1496,Sales,1,3,Technical Degree,1,1,Male,92,3,1,Sales Representative,3,Married,2909,15747,3,Y,0,15,3,4,80,1,5,3,4,3,2,1,2,Rendah (< 5000),1-2 Tahun,< 30,0-5 km,2909.0,3.0,0.3333333333333333,0.06666666666666667,0.6931471805599453,4.0,0.2426062091503268,0,Risiko Sedang,10.785619174434089,Sedang
35,31,0.0,Travel_Rarely,192,Research & Development,2,4,Life Sciences,1,3,Male,32,3,1,Research Scientist,4,Divorced,2695,7747,0,Y,1,18,3,2,80,1,3,2,1,2,2,2,2,Rendah (< 5000),1-2 Tahun,30-39,0-5 km,2695.0,2.5,1.0,0.041666666666666664,1.0986122886681098,0.6666666666666666,0.3196895424836601,1,Risiko Sangat Tinggi,31.921824104234524,Sangat Tinggi
36,36,0.0,Non-Travel,845,Sales,1,5,Medical,1,4,Female,45,3,2,Sales Executive,4,Single,6653,15276,4,Y,0,15,3,2,80,0,7,6,3,1,0,0,0,Sedang (5000-10000),Baru Dipromosikan,30-39,0-5 km,3326.5,3.25,0.0,0.15000000000000002,0.6931471805599453,3.0,0.1451388888888889,0,Risiko Sedang,10.785619174434089,Sedang
37,32,0.0,Travel_Rarely,427,Research & Development,1,3,Medical,1,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Y,1,22,4,2,80,1,9,3,3,9,8,7,8,Sedang (5000-10000),> 5 Tahun,30-39,0-5 km,3081.0,2.5,0.7777777777777778,0.2333333333333333,0.6931471805599453,2.0,0.5072303921568627,1,Risiko Sangat Tinggi,31.921824104234524,Sangat Tinggi
39,28,0.0,Non-Travel,120,Sales,4,3,Medical,1,2,Male,43,3,2,Sales Executive,3,Married,4221,8863,1,Y,0,15,3,2,80,0,5,3,4,5,4,0,4,Rendah (< 5000),Baru Dipromosikan,< 30,0-5 km,2110.5,2.75,0.0,0.16666666666666666,1.6094379124341003,4.0,0.36785130718954245,0,Risiko Sedang,10.785619174434089,Sedang
40,31,1.0,Travel_Rarely,249,Sales,6,4,Life Sciences,1,2,Male,76,1,2,Sales Executive,3,Married,6172,20739,4,Y,1,18,3,2,80,0,12,3,2,7,7,7,7,Sedang (5000-10000),> 5 Tahun,30-39,6-10 km,3086.0,2.25,1.0,0.2416666666666667,1.9459101490553132,1.3333333333333333,0.3828022875816993,1,Risiko Sangat Tinggi,31.921824104234524,Sangat Tinggi
41,50,0.0,Travel_Rarely,316,Sales,8,4,Marketing,1,4,Male,54,3,1,Sales Representative,2,Married,3875,9983,7,Y,0,15,3,4,80,1,4,2,3,2,2,2,2,Rendah (< 5000),1-2 Tahun,50+,6-10 km,3875.0,3.25,1.0,0.05000000000000001,2.1972245773362196,3.0,0.12524509803921569,0,Risiko Sedang,10.785619174434089,Sedang
42,39,0.0,Travel_Rarely,1132,Research & Development,1,3,Medical,1,3,Male,48,4,3,Healthcare Representative,4,Divorced,9613,10942,0,Y,0,17,3,1,80,3,19,5,2,18,10,3,7,Sedang (5000-10000),3-5 Tahun,30-39,0-5 km,3204.3333333333335,2.5,0.16666666666666666,0.47500000000000003,0.6931471805599453,2.0,0.6043300653594771,0,Risiko Sedang,10.785619174434089,Sedang
43,35,0.0,Travel_Rarely,809,Research & Development,16,3,Medical,1,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,0,Y,0,13,3,3,80,1,6,5,3,5,4,0,3,Rendah (< 5000),Baru Dipromosikan,30-39,11-20 km,2426.0,2.25,0.0,0.09166666666666667,2.833213344056216,3.0,0.38092320261437906,0,Risiko Sedang,10.785619174434089,Sedang
44,32,0.0,Travel_Frequently,379,Sales,5,2,Life Sciences,1,2,Male,48,3,2,Sales Executive,2,Married,6524,8891,1,Y,0,14,3,4,80,1,10,3,3,10,8,5,3,Sedang (5000-10000),3-5 Tahun,30-39,0-5 km,3262.0,2.75,0.5,0.25,1.791759469228055,3.0,0.43995098039215685,0,Risiko Sedang,10.785619174434089,Sedang
45,26,1.0,Travel_Rarely,1330,Research & Development,21,3,Medical,1,1,Male,37,3,1,Laboratory Technician,3,Divorced,2377,19373,1,Y,0,20,4,3,80,1,1,0,2,1,1,0,0,Rendah (< 5000),Baru Dipromosikan,< 30,21-30 km,2377.0,2.25,0.0,0.016666666666666666,3.091042453358316,2.0,0.24236111111111108,0,Risiko Sedang,10.785619174434089,Sedang
46,30,0.0,Travel_Rarely,288,Research & Development,2,3,Life Sciences,1,3,Male,99,2,2,Healthcare Representative,4,Married,4152,15830,1,Y,0,19,3,1,80,3,11,3,3,11,10,10,8,Rendah (< 5000),> 5 Tahun,30-39,0-5 km,2076.0,2.75,0.9090909090909091,0.26666666666666666,1.0986122886681098,3.0,0.5475081699346405,0,Risiko Sedang,10.785619174434089,Sedang
49,38,0.0,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,Y,0,21,4,2,80,0,10,2,3,9,7,1,8,Sedang (5000-10000),1-2 Tahun,30-39,21-30 km,3175.3333333333335,3.0,0.1111111111111111,0.325,3.1780538303479458,3.0,0.5211192810457517,0,Risiko Sedang,10.785619174434089,Sedang
50,21,0.0,Travel_Rarely,1343,Sales,22,1,Technical Degree,1,3,Male,49,3,1,Sales Representative,3,Single,3447,24444,1,Y,0,11,3,3,80,0,3,2,3,3,2,1,2,Rendah (< 5000),1-2 Tahun,< 30,21-30 km,3447.0,3.0,0.3333333333333333,0.05000000000000001,3.1354942159291497,3.0,0.29816176470588235,0,Risiko Sedang,10.785619174434089,Sedang
51,35,0.0,Travel_Rarely,950,Research & Development,7,3,Other,1,3,Male,59,3,3,Manufacturing Director,3,Single,10221,18869,3,Y,0,21,4,2,80,0,17,3,4,8,5,1,6,Tinggi (10000-15000),1-2 Tahun,30-39,6-10 km,3407.0,3.0,0.125,0.375,2.0794415416798357,4.0,0.3743464052287582,0,Risiko Sedang,10.785619174434089,Sedang
54,26,0.0,Travel_Frequently,1479,Research & Development,1,3,Life Sciences,1,3,Female,84,3,2,Manufacturing Director,2,Divorced,6397,26767,1,Y,0,20,4,1,80,1,6,6,1,6,5,1,4,Sedang (5000-10000),1-2 Tahun,< 30,0-5 km,3198.5,1.75,0.16666666666666666,0.18333333333333335,0.6931471805599453,1.0,0.3879901960784314,0,Risiko Sedang,10.785619174434089,Sedang
55,31,1.0,Travel_Frequently,523,Research & Development,2,3,Life Sciences,1,2,Male,94,3,1,Laboratory Technician,4,Married,3722,21081,6,Y,1,13,3,3,80,1,7,2,1,2,2,2,2,Rendah (< 5000),1-2 Tahun,30-39,0-5 km,3722.0,2.5,1.0,0.07500000000000001,1.0986122886681098,0.6666666666666666,0.15302287581699348,1,Risiko Sangat Tinggi,31.921824104234524,Sangat Tinggi
57,32,0.0,Travel_Rarely,1062,Research & Development,2,3,Medical,1,3,Female,75,3,1,Laboratory Technician,2,Married,2370,3956,1,Y,0,13,3,3,80,1,8,4,3,8,0,0,7,Rendah (< 5000),Baru Dipromosikan,30-39,0-5 km,2370.0,2.75,0.0,0.13333333333333333,1.0986122886681098,3.0,0.37516339869281046,0,Risiko Sedang,10.785619174434089,Sedang
58,32,0.0,Travel_Rarely,929,Sales,10,3,Marketing,1,4,Male,55,3,2,Sales Executive,4,Single,5396,21703,1,Y,0,12,3,4,80,0,10,2,2,10,7,0,8,Sedang (5000-10000),Baru Dipromosikan,30-39,6-10 km,2698.0,3.5,0.0,0.25,2.3978952727983707,2.0,0.49959150326797386,0,Risiko Sedang,10.785619174434089,Sedang
59,34,0.0,Travel_Rarely,1303,Research & Development,2,4,Life Sciences,1,4,Male,62,2,1,Research Scientist,3,Divorced,2768,8416,3,Y,0,12,3,3,80,1,14,3,3,7,3,5,7,Rendah (< 5000),3-5 Tahun,30-39,0-5 km,2768.0,3.25,0.7142857142857143,0.17500000000000002,1.0986122886681098,3.0,0.35502450980392153,0,Risiko Sedang,10.785619174434089,Sedang
60,33,0.0,Travel_Frequently,553,Research & Development,5,4,Life Sciences,1,4,Female,74,3,3,Manager,2,Married,11878,23364,6,Y,0,11,3,2,80,2,12,2,3,10,6,8,8,Tinggi (10000-15000),> 5 Tahun,30-39,0-5 km,3959.3333333333335,2.75,0.8,0.35000000000000003,1.791759469228055,3.0,0.346813725490196,0,Risiko Sedang,10.785619174434089,Sedang
61,47,0.0,Travel_Rarely,983,Research & Development,2,2,Medical,1,1,Female,65,3,2,Manufacturing Director,4,Divorced,5070,7389,5,Y,0,13,3,3,80,3,20,2,3,5,0,0,4,Sedang (5000-10000),Baru Dipromosikan,40-49,0-5 km,2535.0,2.75,0.0,0.2916666666666667,1.0986122886681098,3.0,0.20118464052287582,0,Risiko Sedang,10.785619174434089,Sedang
63,30,0.0,Travel_Rarely,921,Research & Development,1,3,Life Sciences,1,4,Male,38,1,1,Laboratory Technician,3,Married,3833,24375,3,Y,0,21,4,3,80,2,7,2,3,2,2,0,2,Rendah (< 5000),Baru Dipromosikan,30-39,0-5 km,3833.0,3.25,0.0,0.07500000000000001,0.6931471805599453,3.0,0.2363562091503268,0,Risiko Sedang,10.785619174434089,Sedang
64,58,0.0,Travel_Rarely,1145,Research & Development,9,3,Medical,1,2,Female,75,2,1,Research Scientist,2,Married,3346,11873,4,Y,1,20,4,2,80,1,9,3,2,1,0,0,0,Rendah (< 5000),Baru Dipromosikan,50+,6-10 km,3346.0,2.0,0.0,0.08333333333333333,2.302585092994046,1.3333333333333333,0.1451388888888889,1,Risiko Sangat Tinggi,31.921824104234524,Sangat Tinggi
65,37,1.0,Travel_Rarely,625,Sales,1,4,Life Sciences,1,1,Male,46,2,3,Sales Executive,3,Married,10609,14922,5,Y,0,11,3,3,80,0,17,2,1,14,1,11,7,Tinggi (10000-15000),> 5 Tahun,30-39,0-5 km,3536.3333333333335,2.0,0.7857142857142857,0.42500000000000004,0.6931471805599453,1.0,0.3154411764705882,0,Risiko Sedang,10.785619174434089,Sedang
68,38,0.0,Travel_Rarely,1380,Research & Development,9,2,Life Sciences,1,3,Female,75,3,1,Laboratory Technician,4,Single,2288,6319,1,Y,0,12,3,3,80,0,2,3,3,2,2,2,1,Rendah (< 5000),1-2 Tahun,30-39,6-10 km,2288.0,3.25,1.0,0.03333333333333333,2.302585092994046,3.0,0.2772058823529412,0,Risiko Sedang,10.785619174434089,Sedang
69,43,1.0,Travel_Rarely,1372,Sales,9,3,Marketing,1,1,Female,85,1,2,Sales Executive,3,Single,5346,9489,8,Y,0,13,3,2,80,0,7,2,2,4,3,1,3,Sedang (5000-10000),1-2 Tahun,40-49,6-10 km,2673.0,2.0,0.25,0.17500000000000002,2.302585092994046,2.0,0.13856209150326798,0,Risiko Sedang,10.785619174434089,Sedang
71,52,0.0,Travel_Frequently,322,Research & Development,28,2,Medical,1,4,Female,59,4,4,Manufacturing Director,3,Married,13247,9731,2,Y,1,11,3,2,80,1,24,3,2,5,3,0,2,Tinggi (10000-15000),Baru Dipromosikan,50+,21-30 km,3311.75,2.75,0.0,0.4916666666666667,3.367295829986474,1.3333333333333333,0.2967728758169934,1,Risiko Sangat Tinggi,31.921824104234524,Sangat Tinggi
73,44,0.0,Travel_Rarely,1488,Sales,1,5,Marketing,1,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Y,1,21,4,3,80,1,9,2,2,4,3,1,3,Sedang (5000-10000),1-2 Tahun,40-49,0-5 km,2727.0,2.0,0.25,0.19166666666666665,0.6931471805599453,1.3333333333333333,0.2218954248366013,1,Risiko Sangat Tinggi,31.921824104234524,Sangat Tinggi
74,59,0.0,Travel_Rarely,142,Research & Development,3,3,Life Sciences,1,3,Male,70,2,1,Research Scientist,4,Married,2177,8456,3,Y,0,17,3,1,80,1,7,6,3,1,0,0,0,Rendah (< 5000),Baru Dipromosikan,50+,0-5 km,2177.0,2.75,0.0,0.06666666666666667,1.3862943611198906,3.0,0.17291666666666666,0,Risiko Sedang,10.785619174434089,Sedang
77,42,0.0,Non-Travel,926,Research & Development,21,2,Medical,1,3,Female,36,3,2,Manufacturing Director,3,Divorced,5265,16439,2,Y,0,16,3,2,80,1,11,5,3,5,3,0,2,Sedang (5000-10000),Baru Dipromosikan,40-49,21-30 km,2632.5,2.75,0.0,0.21666666666666667,3.091042453358316,3.0,0.2967728758169934,0,Risiko Sedang,10.785619174434089,Sedang
78,45,0.0,Travel_Rarely,561,Sales,2,3,Other,1,4,Male,61,3,2,Sales Executive,2,Married,4805,16177,0,Y,0,19,3,2,80,1,9,3,4,8,7,3,7,Rendah (< 5000),3-5 Tahun,40-49,0-5 km,2402.5,3.0,0.375,0.225,1.0986122886681098,4.0,0.5001633986928105,0,Risiko Sedang,10.785619174434089,Sedang
81,21,1.0,Travel_Rarely,1427,Research & Development,18,1,Other,1,4,Female,65,3,1,Research Scientist,4,Single,2693,8870,1,Y,0,19,3,1,80,0,1,3,2,1,0,0,0,Rendah (< 5000),Baru Dipromosikan,< 30,11-20 km,2693.0,2.75,0.0,0.016666666666666666,2.9444389791664403,2.0,0.22847222222222222,0,Risiko Sedang,10.785619174434089,Sedang
82,23,0.0,Travel_Rarely,885,Research & Development,4,3,Medical,1,1,Male,58,4,1,Research Scientist,1,Married,2819,8544,2,Y,0,16,3,1,80,1,5,3,4,3,2,0,2,Rendah (< 5000),Baru Dipromosikan,< 30,0-5 km,2819.0,1.75,0.0,0.06666666666666667,1.6094379124341003,4.0,0.27038398692810456,0,Risiko Sedang,10.785619174434089,Sedang
84,54,0.0,Travel_Rarely,1147,Sales,3,3,Marketing,1,4,Female,52,3,2,Sales Executive,1,Married,5940,17011,2,Y,0,14,3,4,80,1,16,4,3,6,2,0,5,Sedang (5000-10000),Baru Dipromosikan,50+,0-5 km,2970.0,3.0,0.0,0.26666666666666666,1.3862943611198906,3.0,0.3332516339869281,0,Risiko Sedang,10.785619174434089,Sedang
85,41,0.0,Travel_Rarely,509,Research & Development,7,2,Technical Degree,1,2,Female,43,4,1,Research Scientist,3,Married,3376,18863,1,Y,0,13,3,3,80,0,10,3,3,10,6,0,8,Rendah (< 5000),Baru Dipromosikan,40-49,6-10 km,3376.0,2.75,0.0,0.16666666666666666,2.0794415416798357,3.0,0.4857026143790849,0,Risiko Sedang,10.785619174434089,Sedang
86,45,0.0,Travel_Rarely,1038,Research & Development,20,3,Medical,1,2,Male,95,1,3,Healthcare Representative,1,Divorced,10851,19863,2,Y,1,18,3,2,80,1,24,2,3,7,7,0,7,Tinggi (10000-15000),Baru Dipromosikan,40-49,11-20 km,3617.0,2.0,0.0,0.42500000000000004,3.044522437723423,2.0,0.4383578431372549,1,Risiko Sangat Tinggi,31.921824104234524,Sangat Tinggi
88,45,0.0,Non-Travel,1052,Sales,6,3,Medical,1,4,Female,57,2,3,Sales Executive,4,Single,8865,16840,6,Y,0,12,3,4,80,0,23,2,3,19,7,12,8,Sedang (5000-10000),> 5 Tahun,40-49,6-10 km,2955.0,3.75,0.631578947368421,0.5166666666666667,1.9459101490553132,3.0,0.416952614379085,0,Risiko Sedang,10.785619174434089,Sedang
93,55,0.0,Travel_Rarely,111,Sales,1,2,Life Sciences,1,1,Male,70,3,3,Sales Executive,4,Married,10239,18092,3,Y,0,14,3,4,80,1,24,4,3,1,0,1,0,Tinggi (10000-15000),1-2 Tahun,50+,0-5 km,3413.0,3.0,1.0,0.375,0.6931471805599453,3.0,0.17291666666666666,0,Risiko Sedang,10.785619174434089,Sedang
95,34,0.0,Travel_Frequently,1069,Research & Development,2,1,Life Sciences,1,4,Male,45,2,2,Manufacturing Director,3,Married,9547,14074,1,Y,0,17,3,3,80,0,10,2,2,10,9,1,9,Sedang (5000-10000),1-2 Tahun,30-39,0-5 km,4773.5,3.0,0.1,0.25,1.0986122886681098,2.0,0.5420751633986928,0,Risiko Sedang,10.785619174434089,Sedang
97,57,0.0,Travel_Rarely,405,Research & Development,1,2,Life Sciences,1,2,Male,93,4,2,Research Scientist,3,Married,4900,2721,0,Y,0,24,4,1,80,1,13,2,2,12,9,2,8,Rendah (< 5000),1-2 Tahun,50+,0-5 km,2450.0,2.0,0.16666666666666666,0.2916666666666667,0.6931471805599453,2.0,0.5676470588235294,0,Risiko Sedang,10.785619174434089,Sedang
