EmployeeId,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,SalaryCategory,PromotionCategory,AgeGroup,DistanceCategory,OverTime_Numeric,Gender_Numeric,Cluster,PC1,PC2,Cluster_Label,Cluster_Short,Satisfaction_Index,Turnover_Risk_Score,PC3,PC4,PC5,Income_Level_Ratio,Income_Experience_Ratio,Salary_Hike_Effectiveness,Stock_Income_Ratio,Overtime_Balance_Impact,Satisfaction_Overtime_Ratio,Promotion_Rate,Career_Stagnation,Role_Stability,Manager_Change_Rate,Job_Stability,Loyalty_Index,Distance_Strain,Job_Intensity,Commute_Burden,Age_squared,Distance_Strain_squared,Career_Stagnation_squared,Turnover_Risk_Score_squared
15,31,0.0,Travel_Rarely,616,Research & Development,12,3,Medical,1,4,Female,41,3,2,Healthcare Representative,4,Married,5855,17369,0,Y,Yes,11,3,3,80,2,10,2,1,9,7,8,5,Sedang (5000-10000),> 5 Tahun,30-39,11-20 km,1,0,0,5.651617945473798,4.563788444360759,Risiko Rendah (Cluster 0),R2: C0,2.5,2,4.26659830407596,2.5839068414506583,2.533718322402093,2788.095238095238,532.2727272727273,3.5483870967741935,0.34153005464480873,4,2.727272727272727,0.2222222222222222,0.8,0.7692307692307693,0.5494505494505495,9.0,36.0,10.909090909090908,6,18.0,961,119.0082644628099,0.6400000000000001,10.181900826446284
16,38,0.0,Non-Travel,573,Research & Development,6,3,Medical,1,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Y,Yes,12,3,4,80,3,17,3,3,13,11,1,9,Sedang (5000-10000),1-2 Tahun,30-39,6-10 km,1,0,0,-1.243423998711806,0.2108060754173775,Risiko Rendah (Cluster 0),R2: C0,3.5,2,-0.9107330838608891,0.2291197597348186,-0.2844140445219104,2537.6190476190477,296.05555555555554,3.8709677419354835,0.5628517823639775,2,2.954545454545454,1.0,0.07142857142857142,0.8396946564885497,0.6870229007633588,1.625,6.5,1.9354838709677418,2,9.0,1444,3.7460978147762742,0.00510204081632653,0.5060978280490133
17,39,0.0,Travel_Rarely,408,Research & Development,2,4,Technical Degree,1,4,Female,80,2,2,Healthcare Representative,3,Single,4553,20978,1,Y,No,11,3,1,80,0,20,4,3,20,7,11,10,Rendah (< 5000),> 5 Tahun,30-39,0-5 km,0,0,0,-2.2324596092123885,4.23089453072468,Risiko Rendah (Cluster 0),R2: C0,3.0,0,-1.9627552828866688,1.371138321286391,1.0587284196329274,2168.095238095238,216.8095238095238,3.5483870967741935,0.0,0,27.5,0.16666666666666666,0.5238095238095238,0.34825870646766166,0.49751243781094523,10.0,30.0,0.6451612903225806,2,2.0,1521,0.4162330905306972,0.2743764172335601,0.06909791535414027
18,54,0.0,Travel_Rarely,821,Research & Development,5,2,Medical,1,1,Male,86,3,5,Research Director,1,Married,19406,8509,4,Y,No,11,3,3,80,1,24,4,2,4,2,1,2,Sangat Tinggi (>15000),1-2 Tahun,50+,0-5 km,0,1,0,-1.104219988612662,-0.21903657270219756,Risiko Rendah (Cluster 0),R2: C0,1.5,0,-0.809000788316939,-1.491994706787341,-3.5197239095235475,3805.0980392156866,776.24,3.5483870967741935,0.051527799247694135,0,17.5,2.5,0.2,0.48780487804878053,0.48780487804878053,0.8,0.8,2.380952380952381,3,5.0,2916,5.668934240362812,0.04000000000000001,0.05612386621315195
20,49,0.0,Travel_Rarely,1098,Research & Development,4,2,Medical,1,1,Male,85,2,5,Manager,3,Married,18711,12124,2,Y,No,13,3,3,80,1,23,2,4,1,0,0,0,Sangat Tinggi (>15000),Baru Dipromosikan,40-49,0-5 km,0,1,0,-1.5493794296635581,-1.2323708063504848,Risiko Rendah (Cluster 0),R2: C0,3.5,0,-1.3469279115060966,-2.5545781498919,-3.129530499946388,3668.823529411765,779.625,4.193548387096774,0.053441641727233855,0,27.5,5.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.9756097560975611,2,4.0,2401,0.9518143961927426,0.0,1.631850461035098
21,24,0.0,Travel_Rarely,691,Research & Development,23,3,Medical,1,2,Male,89,4,1,Research Scientist,4,Married,2725,21630,1,Y,Yes,11,3,2,80,2,6,3,3,6,5,1,4,Rendah (< 5000),1-2 Tahun,< 30,21-30 km,1,1,0,2.987011421415653,-0.2007992592557769,Risiko Rendah (Cluster 0),R2: C0,3.5,2,4.201005416914579,-0.673507624311994,2.556773434498537,2477.272727272727,389.2857142857143,3.5483870967741935,0.7336757153338225,2,2.5,0.5,0.14285714285714285,0.819672131147541,0.6557377049180328,3.0,12.0,7.419354838709677,8,34.5,576,55.0468262226847,0.02040816326530612,2.7312512609101915
22,40,0.0,Travel_Rarely,302,Research & Development,6,3,Life Sciences,1,2,Female,75,3,4,Manufacturing Director,3,Single,13237,20364,7,Y,No,15,3,3,80,0,22,3,3,20,6,5,13,Tinggi (10000-15000),3-5 Tahun,40-49,6-10 km,0,0,0,-1.5242957969794189,1.976881265544454,Risiko Rendah (Cluster 0),R2: C0,3.0,0,-0.8373307464342832,-0.2652832810890239,-1.9125344040255272,3228.536585365854,575.5217391304348,4.838709677419355,0.0,0,27.5,0.6666666666666666,0.23809523809523808,0.29850746268656714,0.6467661691542288,2.5,7.5,1.9354838709677418,3,6.0,1600,3.7460978147762742,0.056689342403628114,0.4973932709573598
23,41,0.0,Non-Travel,267,Sales,10,2,Life Sciences,1,4,Male,56,3,2,Sales Executive,4,Single,6230,13430,7,Y,No,14,3,4,80,0,16,3,3,14,3,1,10,Sedang (5000-10000),1-2 Tahun,40-49,6-10 km,0,1,0,-0.8698010806205718,0.26022893764514277,Risiko Rendah (Cluster 0),R2: C0,3.5,0,-0.5458509505658282,-0.6885312959216052,-0.7819809137205436,2966.6666666666665,366.47058823529414,4.516129032258064,0.0,0,37.5,1.0,0.06666666666666667,0.2127659574468085,0.7092198581560284,1.75,7.0,3.225806451612903,3,10.0,1681,10.405827263267428,0.0044444444444444444,2.013805136431957
24,32,0.0,Travel_Rarely,588,Sales,8,2,Technical Degree,1,3,Female,65,2,2,Sales Executive,2,Married,5228,24624,1,Y,Yes,11,3,4,80,0,13,2,3,13,12,11,9,Sedang (5000-10000),> 5 Tahun,30-39,6-10 km,1,0,0,-0.20437067645249596,3.5102583582705025,Risiko Rendah (Cluster 0),R2: C0,2.5,2,2.4904916170639506,3.636001974215062,0.4072847148203446,2489.5238095238096,373.42857142857144,3.5483870967741935,0.0,2,2.727272727272727,0.16666666666666666,0.7857142857142857,0.916030534351145,0.6870229007633588,6.5,13.0,2.5806451612903225,4,12.0,1024,6.659729448491155,0.6173469387755102,5.426538044978655
25,24,1.0,Travel_Rarely,813,Research & Development,1,3,Medical,1,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0,Rendah (< 5000),1-2 Tahun,< 30,0-5 km,1,1,0,0.06215714513558024,-1.3608214314560536,Risiko Rendah (Cluster 0),R2: C0,3.0,2,4.360525394477494,1.8384554626467977,1.1572647814399613,2084.5454545454545,327.57142857142856,5.161290322580645,0.43591979075850046,3,2.0454545454545454,0.3333333333333333,0.6666666666666666,0.0,0.0,0.6666666666666666,2.6666666666666665,0.47619047619047616,6,1.5,576,0.22675736961451246,0.4444444444444444,5.089321145124715
28,39,0.0,Travel_Rarely,412,Research & Development,13,4,Medical,1,3,Female,94,2,4,Manager,2,Divorced,17123,17334,6,Y,Yes,13,3,4,80,2,21,4,3,19,9,15,2,Sangat Tinggi (>15000),> 5 Tahun,30-39,11-20 km,1,0,0,0.47254322209773747,3.872271878561202,Risiko Rendah (Cluster 0),R2: C0,2.5,2,2.344836521320746,3.3243806917040506,-2.270117288754171,4176.341463414635,778.3181818181819,4.193548387096774,0.11679514132212099,2,2.727272727272727,0.25,0.75,0.47120418848167533,0.10471204188481674,2.7142857142857144,5.428571428571429,4.193548387096774,4,19.5,1521,17.585848074921955,0.5625,5.85327783558793
29,59,0.0,Travel_Rarely,818,Human Resources,6,2,Medical,1,2,Male,52,3,1,Human Resources,3,Married,2267,25657,8,Y,No,17,3,4,80,0,7,2,2,2,2,2,2,Rendah (< 5000),1-2 Tahun,50+,6-10 km,0,1,0,-0.8375360349583583,-0.9025348759249227,Risiko Rendah (Cluster 0),R2: C0,2.5,0,-0.014815493129277657,1.994268144886764,-2.2207441608675267,2060.9090909090905,283.375,5.483870967741935,0.0,0,27.5,0.3333333333333333,0.6666666666666666,0.9523809523809523,0.9523809523809523,0.2222222222222222,0.6666666666666666,2.857142857142857,3,6.0,3481,8.16326530612245,0.4444444444444444,0.0595592403628118
31,36,0.0,Travel_Rarely,1425,Research & Development,14,1,Life Sciences,1,3,Male,68,3,2,Healthcare Representative,4,Married,6586,4821,0,Y,Yes,17,3,1,80,1,17,2,2,16,8,4,11,Sedang (5000-10000),3-5 Tahun,30-39,11-20 km,1,1,0,1.6270818853017412,6.085721982743891,Risiko Rendah (Cluster 0),R2: C0,3.0,2,2.0579920498804536,-2.114459987114525,3.931611718405184,3136.190476190476,365.8888888888889,5.483870967741935,0.1518141794443601,3,2.2727272727272725,0.4,0.23529411764705882,0.49689440993788814,0.6832298136645962,16.0,64.0,6.666666666666666,6,21.0,1296,44.444444444444436,0.05536332179930796,3.5617310649750094
32,30,0.0,Travel_Rarely,853,Research & Development,7,4,Life Sciences,1,3,Male,49,3,2,Laboratory Technician,3,Divorced,3491,11309,1,Y,No,13,3,1,80,3,10,4,2,10,7,8,9,Rendah (< 5000),> 5 Tahun,30-39,6-10 km,0,1,0,-0.758790647400519,1.6333164959159365,Risiko Rendah (Cluster 0),R2: C0,2.5,0,-0.35257855451583114,3.2641922182495344,1.7005007219507944,1662.3809523809523,317.3636363636364,4.193548387096774,0.8591065292096219,0,22.5,0.2222222222222222,0.7272727272727273,0.6930693069306931,0.8910891089108911,5.0,15.0,3.333333333333333,3,7.0,900,11.111111111111109,0.5289256198347108,0.439408287419651
33,38,0.0,Travel_Rarely,433,Human Resources,1,3,Human Resources,1,3,Male,37,4,1,Human Resources,3,Married,2844,6004,1,Y,No,13,3,4,80,1,7,2,4,7,6,5,0,Rendah (< 5000),3-5 Tahun,30-39,0-5 km,0,1,0,-1.7355916812072694,0.2495773760170965,Risiko Rendah (Cluster 0),R2: C0,3.5,0,0.6659830811354545,1.5285048729945048,0.9508332422721817,2585.454545454545,355.5,4.193548387096774,0.351493848857645,0,35.0,0.16666666666666666,0.625,0.8450704225352114,0.0,3.5,10.5,0.24390243902439027,4,1.0,1444,0.05948839976204641,0.390625,0.22620464009518143
34,28,1.0,Travel_Frequently,1496,Sales,1,3,Technical Degree,1,1,Male,92,3,1,Sales Representative,3,Married,2909,15747,3,Y,No,15,3,4,80,1,5,3,4,3,2,1,2,Rendah (< 5000),1-2 Tahun,< 30,0-5 km,0,1,0,-1.5840542231714547,-2.0201643774470317,Risiko Rendah (Cluster 0),R2: C0,3.5,0,-0.3012603832451309,0.6466272471696338,0.8092312087998261,2644.5454545454545,484.8333333333333,4.838709677419355,0.3436426116838488,0,30.0,0.5,0.25,0.6451612903225806,0.6451612903225806,0.75,2.25,0.24390243902439027,3,1.0,784,0.05948839976204641,0.0625,0.9518143961927423
35,31,0.0,Travel_Rarely,192,Research & Development,2,4,Life Sciences,1,3,Male,32,3,1,Research Scientist,4,Divorced,2695,7747,0,Y,Yes,18,3,2,80,1,3,2,1,2,2,2,2,Rendah (< 5000),1-2 Tahun,30-39,0-5 km,1,1,0,0.3320734106923269,-0.34366456017809754,Risiko Rendah (Cluster 0),R2: C0,2.5,2,4.435469222655991,2.026344613092543,1.4849623115064534,2450.0,673.75,5.806451612903226,0.370919881305638,4,2.2727272727272725,0.3333333333333333,0.6666666666666666,0.9523809523809523,0.9523809523809523,2.0,8.0,1.8181818181818181,6,3.0,961,3.305785123966942,0.4444444444444444,5.130911386593203
36,36,0.0,Non-Travel,845,Sales,1,5,Medical,1,4,Female,45,3,2,Sales Executive,4,Single,6653,15276,4,Y,No,15,3,2,80,0,7,6,3,1,0,0,0,Sedang (5000-10000),Baru Dipromosikan,30-39,0-5 km,0,0,0,-1.4338297261924984,-2.3410368112807007,Risiko Rendah (Cluster 0),R2: C0,3.5,0,-0.47878684331578364,-0.9141885409966958,-0.3139494711135671,3168.095238095238,831.625,4.838709677419355,0.0,0,32.5,2.0,0.0,0.0,0.0,0.2,0.8,0.3225806451612903,3,1.0,1296,0.1040582726326743,0.0,2.5368268730489074
37,32,0.0,Travel_Rarely,427,Research & Development,1,3,Medical,1,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Y,Yes,22,4,2,80,1,9,3,3,9,8,7,8,Sedang (5000-10000),> 5 Tahun,30-39,0-5 km,1,1,0,-0.5074748900715114,2.380721155852817,Risiko Rendah (Cluster 0),R2: C0,3.5,2,3.775732654011705,2.1686608468344657,1.1409176091544415,2934.285714285714,616.2,5.365853658536586,0.1622586402725945,2,2.2727272727272725,0.25,0.7,0.8791208791208791,0.8791208791208791,4.5,18.0,0.3225806451612903,6,1.5,1024,0.1040582726326743,0.48999999999999994,4.762250260145681
39,28,0.0,Non-Travel,120,Sales,4,3,Medical,1,2,Male,43,3,2,Sales Executive,3,Married,4221,8863,1,Y,No,15,3,2,80,0,5,3,4,5,4,0,4,Rendah (< 5000),Baru Dipromosikan,< 30,0-5 km,0,1,0,-1.4122962539904573,-1.2846570980680103,Risiko Rendah (Cluster 0),R2: C0,3.5,0,-0.4968382861915983,-0.5351510828813733,0.9639992931644982,2010.0,703.5,4.838709677419355,0.0,0,27.5,2.0,0.0,0.7843137254901962,0.7843137254901962,2.5,7.5,0.9756097560975611,3,4.0,784,0.9518143961927426,0.0,1.631850461035098
40,31,1.0,Travel_Rarely,249,Sales,6,4,Life Sciences,1,2,Male,76,1,2,Sales Executive,3,Married,6172,20739,4,Y,Yes,18,3,2,80,0,12,3,2,7,7,7,7,Sedang (5000-10000),> 5 Tahun,30-39,6-10 km,1,1,0,0.33946369316923297,1.5201400010063333,Risiko Rendah (Cluster 0),R2: C0,2.5,2,1.8711283309831512,5.084084109442702,-0.8658614901949762,2939.047619047619,474.7692307692308,5.806451612903226,0.0,3,2.0454545454545454,0.25,0.875,0.9859154929577465,0.9859154929577465,1.4,4.2,2.857142857142857,2,9.0,961,8.16326530612245,0.765625,8.472257653061224
41,50,0.0,Travel_Rarely,316,Sales,8,4,Marketing,1,4,Male,54,3,1,Sales Representative,2,Married,3875,9983,7,Y,No,15,3,4,80,1,4,2,3,2,2,2,2,Rendah (< 5000),1-2 Tahun,50+,6-10 km,0,1,0,-1.0275719713795841,-1.067863402662972,Risiko Rendah (Cluster 0),R2: C0,2.5,0,0.01920685860493271,2.064713973654157,-1.4277515814713553,3522.7272727272725,775.0,4.838709677419355,0.25799793601651183,0,32.5,0.3333333333333333,0.6666666666666666,0.9523809523809523,0.9523809523809523,0.25,0.5,2.5806451612903225,3,8.0,2500,6.659729448491155,0.4444444444444444,0.00112910452075385
42,39,0.0,Travel_Rarely,1132,Research & Development,1,3,Medical,1,3,Male,48,4,3,Healthcare Representative,4,Divorced,9613,10942,0,Y,No,17,3,1,80,3,19,5,2,18,10,3,7,Sedang (5000-10000),3-5 Tahun,30-39,0-5 km,0,1,0,-1.939141077312444,6.148321563902249,Risiko Rendah (Cluster 0),R2: C0,3.0,0,-1.0179683293093222,-2.7618136513990734,4.277318404980618,3100.967741935484,480.65,5.483870967741935,0.31204493447056375,0,25.0,0.75,0.15789473684210525,0.5524861878453038,0.38674033149171266,18.0,72.0,0.47619047619047616,4,1.0,1521,0.22675736961451246,0.02493074792243767,0.7860444500976754
43,35,0.0,Travel_Rarely,809,Research & Development,16,3,Medical,1,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,0,Y,No,13,3,3,80,1,6,5,3,5,4,0,3,Rendah (< 5000),Baru Dipromosikan,30-39,11-20 km,0,1,0,0.3144900604057943,-0.8738089813304558,Risiko Rendah (Cluster 0),R2: C0,2.5,0,-0.2990813719239661,-0.6209735223777673,1.6724080218354036,2205.4545454545455,346.57142857142856,4.193548387096774,0.4120313143798929,0,22.5,1.0,0.0,0.7843137254901962,0.5882352941176471,5.0,10.0,5.161290322580645,4,16.0,1225,26.63891779396462,0.0,0.37072385535900104
44,32,0.0,Travel_Frequently,379,Sales,5,2,Life Sciences,1,2,Male,48,3,2,Sales Executive,2,Married,6524,8891,1,Y,No,14,3,4,80,1,10,3,3,10,8,5,3,Sedang (5000-10000),3-5 Tahun,30-39,0-5 km,0,1,0,-1.489915180984649,0.7810446002019171,Risiko Rendah (Cluster 0),R2: C0,2.5,0,-0.6578715065890022,1.0038998437504034,0.6315360854707905,3106.6666666666665,593.0909090909091,4.516129032258064,0.1532567049808429,0,27.5,0.3333333333333333,0.45454545454545453,0.7920792079207921,0.297029702970297,5.0,10.0,1.6129032258064515,3,5.0,1024,2.601456815816857,0.20661157024793386,0.09279259401793934
45,26,1.0,Travel_Rarely,1330,Research & Development,21,3,Medical,1,1,Male,37,3,1,Laboratory Technician,3,Divorced,2377,19373,1,Y,No,20,4,3,80,1,1,0,2,1,1,0,0,Rendah (< 5000),Baru Dipromosikan,< 30,21-30 km,0,1,0,3.626553753056128,-2.5937050753145967,Risiko Rendah (Cluster 0),R2: C0,2.5,0,-1.3144945280064957,-0.047095398004450395,1.0195669302889934,2160.9090909090905,1188.5,4.878048780487806,0.42052144659377627,0,22.5,1.0,0.0,0.9090909090909091,0.0,0.5,1.5,10.0,3,21.0,676,100.0,0.0,0.015625
46,30,0.0,Travel_Rarely,288,Research & Development,2,3,Life Sciences,1,3,Male,99,2,2,Healthcare Representative,4,Married,4152,15830,1,Y,No,19,3,1,80,3,11,3,3,11,10,10,8,Rendah (< 5000),> 5 Tahun,30-39,0-5 km,0,1,0,-1.8578668136779022,2.5535069436554867,Risiko Rendah (Cluster 0),R2: C0,3.5,0,-1.2032383689483233,4.0126042003338505,1.6891411551845725,1977.142857142857,346.0,6.129032258064516,0.7223693715386468,0,27.5,0.18181818181818182,0.8333333333333334,0.9009009009009009,0.7207207207207208,5.5,22.0,0.6451612903225806,2,2.0,900,0.4162330905306972,0.6944444444444445,0.12686618395190197
49,38,0.0,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,Y,No,21,4,2,80,0,10,2,3,9,7,1,8,Sedang (5000-10000),1-2 Tahun,30-39,21-30 km,0,1,0,1.1109354966346237,1.9371684964737388,Risiko Rendah (Cluster 0),R2: C0,3.0,0,-2.541944618945357,-1.1820033609527842,1.1463153588596644,3072.9032258064517,866.0,5.121951219512195,0.0,0,30.0,1.5,0.1,0.7692307692307693,0.8791208791208791,9.0,27.0,7.419354838709677,2,23.0,1444,55.0468262226847,0.010000000000000002,0.31143600416233097
50,21,0.0,Travel_Rarely,1343,Sales,22,1,Technical Degree,1,3,Male,49,3,1,Sales Representative,3,Single,3447,24444,1,Y,No,11,3,3,80,0,3,2,3,3,2,1,2,Rendah (< 5000),1-2 Tahun,< 30,21-30 km,0,1,0,1.315120086492044,-1.5656686293886741,Risiko Rendah (Cluster 0),R2: C0,3.0,0,-0.999766181972578,0.37595525780117944,1.139334727751322,3133.6363636363635,861.75,3.5483870967741935,0.0,0,30.0,0.5,0.25,0.6451612903225806,0.6451612903225806,1.5,4.5,7.096774193548387,3,22.0,441,50.36420395421436,0.0625,0.08428720083246616
