EmployeeId,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,SalaryCategory,PromotionCategory,AgeGroup,DistanceCategory,Cluster,Cluster_Label,tsne_1,tsne_2
11,25,0.0,Travel_Rarely,583,Sales,4,1,Marketing,1,3,Male,87,2,2,Sales Executive,1,Married,4256,18154,1,Y,No,12,3,1,80,0,5,1,4,5,2,0,3,Rendah (< 5000),Baru Dipromosikan,< 30,0-5 km,4,Risiko Tinggi,-7.168766498565674,-6.713127136230469
12,20,1.0,Travel_Rarely,129,Research & Development,4,3,Technical Degree,1,1,Male,84,3,1,Laboratory Technician,1,Single,2973,13008,1,Y,No,19,3,2,80,0,1,2,3,1,0,0,0,Rendah (< 5000),Baru Dipromosikan,< 30,0-5 km,1,,-34.49367141723633,8.215930938720703
13,47,,Travel_Rarely,571,Sales,14,3,Medical,1,3,Female,78,3,2,Sales Executive,3,Married,4591,24200,3,Y,Yes,17,3,3,80,1,11,4,2,5,4,1,2,Rendah (< 5000),1-2 Tahun,40-49,11-20 km,8,,-8.306188583374023,31.116308212280273
14,42,0.0,Travel_Rarely,810,Research & Development,23,5,Life Sciences,1,1,Female,44,3,4,Research Director,4,Single,15992,15901,2,Y,No,14,3,2,80,0,16,2,3,1,0,0,0,Sangat Tinggi (>15000),Baru Dipromosikan,40-49,21-30 km,0,Risiko Sedang,23.467456817626953,-26.195953369140625
15,31,0.0,Travel_Rarely,616,Research & Development,12,3,Medical,1,4,Female,41,3,2,Healthcare Representative,4,Married,5855,17369,0,Y,Yes,11,3,3,80,2,10,2,1,9,7,8,5,Sedang (5000-10000),> 5 Tahun,30-39,11-20 km,2,,40.275672912597656,9.838482856750488
16,38,0.0,Non-Travel,573,Research & Development,6,3,Medical,1,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Y,Yes,12,3,4,80,3,17,3,3,13,11,1,9,Sedang (5000-10000),1-2 Tahun,30-39,6-10 km,8,,-10.00952434539795,19.31405258178711
17,39,0.0,Travel_Rarely,408,Research & Development,2,4,Technical Degree,1,4,Female,80,2,2,Healthcare Representative,3,Single,4553,20978,1,Y,No,11,3,1,80,0,20,4,3,20,7,11,10,Rendah (< 5000),> 5 Tahun,30-39,0-5 km,2,,60.44208908081055,10.894356727600098
18,54,0.0,Travel_Rarely,821,Research & Development,5,2,Medical,1,1,Male,86,3,5,Research Director,1,Married,19406,8509,4,Y,No,11,3,3,80,1,24,4,2,4,2,1,2,Sangat Tinggi (>15000),1-2 Tahun,50+,0-5 km,0,Risiko Sedang,40.67795181274414,-21.95745277404785
19,25,,Travel_Frequently,772,Research & Development,2,1,Life Sciences,1,4,Male,77,4,2,Manufacturing Director,3,Divorced,5206,4973,1,Y,No,17,3,3,80,2,7,6,3,7,7,0,7,Sedang (5000-10000),Baru Dipromosikan,< 30,0-5 km,4,Risiko Tinggi,-0.21934586763381958,4.280801296234131
20,49,0.0,Travel_Rarely,1098,Research & Development,4,2,Medical,1,1,Male,85,2,5,Manager,3,Married,18711,12124,2,Y,No,13,3,3,80,1,23,2,4,1,0,0,0,Sangat Tinggi (>15000),Baru Dipromosikan,40-49,0-5 km,-1,,,
21,24,0.0,Travel_Rarely,691,Research & Development,23,3,Medical,1,2,Male,89,4,1,Research Scientist,4,Married,2725,21630,1,Y,Yes,11,3,2,80,2,6,3,3,6,5,1,4,Rendah (< 5000),1-2 Tahun,< 30,21-30 km,3,,-23.189252853393555,34.40128707885742
22,40,0.0,Travel_Rarely,302,Research & Development,6,3,Life Sciences,1,2,Female,75,3,4,Manufacturing Director,3,Single,13237,20364,7,Y,No,15,3,3,80,0,22,3,3,20,6,5,13,Tinggi (10000-15000),3-5 Tahun,40-49,6-10 km,0,Risiko Sedang,54.02454376220703,-9.14590072631836
23,41,0.0,Non-Travel,267,Sales,10,2,Life Sciences,1,4,Male,56,3,2,Sales Executive,4,Single,6230,13430,7,Y,No,14,3,4,80,0,16,3,3,14,3,1,10,Sedang (5000-10000),1-2 Tahun,40-49,6-10 km,7,Risiko Rendah,16.441301345825195,16.46577262878418
24,32,0.0,Travel_Rarely,588,Sales,8,2,Technical Degree,1,3,Female,65,2,2,Sales Executive,2,Married,5228,24624,1,Y,Yes,11,3,4,80,0,13,2,3,13,12,11,9,Sedang (5000-10000),> 5 Tahun,30-39,6-10 km,2,,54.09223175048828,7.32635498046875
25,24,1.0,Travel_Rarely,813,Research & Development,1,3,Medical,1,2,Male,61,3,1,Research Scientist,4,Married,2293,3020,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0,Rendah (< 5000),1-2 Tahun,< 30,0-5 km,3,,-24.897233963012695,36.40187454223633
26,49,,Travel_Rarely,722,Research & Development,25,4,Life Sciences,1,3,Female,84,3,1,Laboratory Technician,1,Married,3211,22102,1,Y,No,14,3,4,80,1,10,3,2,9,6,1,4,Rendah (< 5000),1-2 Tahun,40-49,21-30 km,5,,-39.458518981933594,-28.62104606628418
27,24,,Travel_Rarely,350,Research & Development,21,2,Technical Degree,1,3,Male,57,2,1,Laboratory Technician,1,Divorced,2296,10036,0,Y,No,14,3,2,80,3,2,3,3,1,1,0,0,Rendah (< 5000),Baru Dipromosikan,< 30,21-30 km,1,,-30.819353103637695,4.7754034996032715
28,39,0.0,Travel_Rarely,412,Research & Development,13,4,Medical,1,3,Female,94,2,4,Manager,2,Divorced,17123,17334,6,Y,Yes,13,3,4,80,2,21,4,3,19,9,15,2,Sangat Tinggi (>15000),> 5 Tahun,30-39,11-20 km,-1,,,
29,59,0.0,Travel_Rarely,818,Human Resources,6,2,Medical,1,2,Male,52,3,1,Human Resources,3,Married,2267,25657,8,Y,No,17,3,4,80,0,7,2,2,2,2,2,2,Rendah (< 5000),1-2 Tahun,50+,6-10 km,5,,-22.43966293334961,-29.380388259887695
30,47,,Travel_Rarely,1176,Human Resources,26,4,Life Sciences,1,4,Female,98,3,5,Manager,3,Married,19658,5220,3,Y,No,11,3,3,80,1,27,2,3,5,2,1,0,Sangat Tinggi (>15000),1-2 Tahun,40-49,21-30 km,0,Risiko Sedang,47.0092658996582,-18.487375259399414
31,36,0.0,Travel_Rarely,1425,Research & Development,14,1,Life Sciences,1,3,Male,68,3,2,Healthcare Representative,4,Married,6586,4821,0,Y,Yes,17,3,1,80,1,17,2,2,16,8,4,11,Sedang (5000-10000),3-5 Tahun,30-39,11-20 km,2,,39.37450408935547,4.025854587554932
32,30,0.0,Travel_Rarely,853,Research & Development,7,4,Life Sciences,1,3,Male,49,3,2,Laboratory Technician,3,Divorced,3491,11309,1,Y,No,13,3,1,80,3,10,4,2,10,7,8,9,Rendah (< 5000),> 5 Tahun,30-39,6-10 km,2,,42.465240478515625,23.603124618530273
33,38,0.0,Travel_Rarely,433,Human Resources,1,3,Human Resources,1,3,Male,37,4,1,Human Resources,3,Married,2844,6004,1,Y,No,13,3,4,80,1,7,2,4,7,6,5,0,Rendah (< 5000),3-5 Tahun,30-39,0-5 km,7,Risiko Rendah,33.768367767333984,12.841188430786133
34,28,1.0,Travel_Frequently,1496,Sales,1,3,Technical Degree,1,1,Male,92,3,1,Sales Representative,3,Married,2909,15747,3,Y,No,15,3,4,80,1,5,3,4,3,2,1,2,Rendah (< 5000),1-2 Tahun,< 30,0-5 km,5,,-40.51902389526367,-18.478012084960938
35,31,0.0,Travel_Rarely,192,Research & Development,2,4,Life Sciences,1,3,Male,32,3,1,Research Scientist,4,Divorced,2695,7747,0,Y,Yes,18,3,2,80,1,3,2,1,2,2,2,2,Rendah (< 5000),1-2 Tahun,30-39,0-5 km,3,,-26.041412353515625,35.20786666870117
36,36,0.0,Non-Travel,845,Sales,1,5,Medical,1,4,Female,45,3,2,Sales Executive,4,Single,6653,15276,4,Y,No,15,3,2,80,0,7,6,3,1,0,0,0,Sedang (5000-10000),Baru Dipromosikan,30-39,0-5 km,4,Risiko Tinggi,3.5812454223632812,4.021379470825195
37,32,0.0,Travel_Rarely,427,Research & Development,1,3,Medical,1,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Y,Yes,22,4,2,80,1,9,3,3,9,8,7,8,Sedang (5000-10000),> 5 Tahun,30-39,0-5 km,2,,48.364261627197266,7.332879066467285
38,43,,Travel_Rarely,990,Research & Development,27,3,Technical Degree,1,4,Male,87,4,1,Laboratory Technician,2,Divorced,4876,5855,5,Y,No,12,3,3,80,1,8,0,3,6,4,0,2,Rendah (< 5000),Baru Dipromosikan,40-49,21-30 km,6,,-12.438541412353516,-27.50555992126465
39,28,0.0,Non-Travel,120,Sales,4,3,Medical,1,2,Male,43,3,2,Sales Executive,3,Married,4221,8863,1,Y,No,15,3,2,80,0,5,3,4,5,4,0,4,Rendah (< 5000),Baru Dipromosikan,< 30,0-5 km,4,Risiko Tinggi,-5.609848499298096,-1.944150686264038
40,31,1.0,Travel_Rarely,249,Sales,6,4,Life Sciences,1,2,Male,76,1,2,Sales Executive,3,Married,6172,20739,4,Y,Yes,18,3,2,80,0,12,3,2,7,7,7,7,Sedang (5000-10000),> 5 Tahun,30-39,6-10 km,2,,49.23150634765625,2.18688702583313
41,50,0.0,Travel_Rarely,316,Sales,8,4,Marketing,1,4,Male,54,3,1,Sales Representative,2,Married,3875,9983,7,Y,No,15,3,4,80,1,4,2,3,2,2,2,2,Rendah (< 5000),1-2 Tahun,50+,6-10 km,6,,-9.094090461730957,-29.210458755493164
42,39,0.0,Travel_Rarely,1132,Research & Development,1,3,Medical,1,3,Male,48,4,3,Healthcare Representative,4,Divorced,9613,10942,0,Y,No,17,3,1,80,3,19,5,2,18,10,3,7,Sedang (5000-10000),3-5 Tahun,30-39,0-5 km,2,,33.850467681884766,30.11475944519043
43,35,0.0,Travel_Rarely,809,Research & Development,16,3,Medical,1,1,Male,84,4,1,Laboratory Technician,2,Married,2426,16479,0,Y,No,13,3,3,80,1,6,5,3,5,4,0,3,Rendah (< 5000),Baru Dipromosikan,30-39,11-20 km,5,,-25.89602279663086,-16.267457962036133
44,32,0.0,Travel_Frequently,379,Sales,5,2,Life Sciences,1,2,Male,48,3,2,Sales Executive,2,Married,6524,8891,1,Y,No,14,3,4,80,1,10,3,3,10,8,5,3,Sedang (5000-10000),3-5 Tahun,30-39,0-5 km,7,Risiko Rendah,35.29922866821289,16.608993530273438
45,26,1.0,Travel_Rarely,1330,Research & Development,21,3,Medical,1,1,Male,37,3,1,Laboratory Technician,3,Divorced,2377,19373,1,Y,No,20,4,3,80,1,1,0,2,1,1,0,0,Rendah (< 5000),Baru Dipromosikan,< 30,21-30 km,1,,-30.924678802490234,8.871664047241211
46,30,0.0,Travel_Rarely,288,Research & Development,2,3,Life Sciences,1,3,Male,99,2,2,Healthcare Representative,4,Married,4152,15830,1,Y,No,19,3,1,80,3,11,3,3,11,10,10,8,Rendah (< 5000),> 5 Tahun,30-39,0-5 km,2,,57.35350799560547,12.17762279510498
47,38,,Travel_Rarely,345,Sales,10,2,Life Sciences,1,1,Female,100,3,2,Sales Executive,4,Married,5343,5982,1,Y,No,11,3,3,80,1,10,1,3,10,7,1,9,Sedang (5000-10000),1-2 Tahun,30-39,6-10 km,4,Risiko Tinggi,7.5753326416015625,-5.166569232940674
48,30,,Travel_Rarely,330,Human Resources,1,3,Life Sciences,1,3,Male,46,3,1,Human Resources,3,Divorced,2064,15428,0,Y,No,21,4,1,80,1,6,3,4,5,3,1,3,Rendah (< 5000),1-2 Tahun,30-39,0-5 km,5,,-39.417789459228516,-15.84646224975586
49,38,0.0,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,Y,No,21,4,2,80,0,10,2,3,9,7,1,8,Sedang (5000-10000),1-2 Tahun,30-39,21-30 km,4,Risiko Tinggi,10.616424560546875,10.02763843536377
50,21,0.0,Travel_Rarely,1343,Sales,22,1,Technical Degree,1,3,Male,49,3,1,Sales Representative,3,Single,3447,24444,1,Y,No,11,3,3,80,0,3,2,3,3,2,1,2,Rendah (< 5000),1-2 Tahun,< 30,21-30 km,1,,-50.81233215332031,-7.065264701843262
51,35,0.0,Travel_Rarely,950,Research & Development,7,3,Other,1,3,Male,59,3,3,Manufacturing Director,3,Single,10221,18869,3,Y,No,21,4,2,80,0,17,3,4,8,5,1,6,Tinggi (10000-15000),1-2 Tahun,30-39,6-10 km,4,Risiko Tinggi,13.200105667114258,-6.161741733551025
52,50,,Travel_Rarely,264,Sales,9,3,Marketing,1,3,Male,59,3,5,Manager,3,Married,19331,19519,4,Y,Yes,16,3,3,80,1,27,2,3,1,0,0,0,Sangat Tinggi (>15000),Baru Dipromosikan,50+,6-10 km,0,Risiko Sedang,34.427738189697266,-25.532779693603516
53,34,,Travel_Frequently,426,Research & Development,10,4,Life Sciences,1,3,Male,42,4,2,Manufacturing Director,4,Divorced,4724,17000,1,Y,No,13,3,1,80,1,9,3,3,9,7,7,2,Rendah (< 5000),> 5 Tahun,30-39,6-10 km,2,,39.995994567871094,18.489086151123047
54,26,0.0,Travel_Frequently,1479,Research & Development,1,3,Life Sciences,1,3,Female,84,3,2,Manufacturing Director,2,Divorced,6397,26767,1,Y,No,20,4,1,80,1,6,6,1,6,5,1,4,Sedang (5000-10000),1-2 Tahun,< 30,0-5 km,4,Risiko Tinggi,-16.191740036010742,-4.991296768188477
55,31,1.0,Travel_Frequently,523,Research & Development,2,3,Life Sciences,1,2,Male,94,3,1,Laboratory Technician,4,Married,3722,21081,6,Y,Yes,13,3,3,80,1,7,2,1,2,2,2,2,Rendah (< 5000),1-2 Tahun,30-39,0-5 km,3,,-15.57313346862793,29.394773483276367
56,30,,Travel_Rarely,241,Research & Development,7,3,Medical,1,2,Male,48,2,1,Research Scientist,2,Married,2141,5348,1,Y,No,12,3,2,80,1,6,3,2,6,4,1,1,Rendah (< 5000),1-2 Tahun,30-39,6-10 km,1,,-28.155303955078125,-9.18278694152832
57,32,0.0,Travel_Rarely,1062,Research & Development,2,3,Medical,1,3,Female,75,3,1,Laboratory Technician,2,Married,2370,3956,1,Y,No,13,3,3,80,1,8,4,3,8,0,0,7,Rendah (< 5000),Baru Dipromosikan,30-39,0-5 km,5,,-35.132301330566406,-15.657078742980957
58,32,0.0,Travel_Rarely,929,Sales,10,3,Marketing,1,4,Male,55,3,2,Sales Executive,4,Single,5396,21703,1,Y,No,12,3,4,80,0,10,2,2,10,7,0,8,Sedang (5000-10000),Baru Dipromosikan,30-39,6-10 km,4,Risiko Tinggi,8.296998023986816,7.354320526123047
59,34,0.0,Travel_Rarely,1303,Research & Development,2,4,Life Sciences,1,4,Male,62,2,1,Research Scientist,3,Divorced,2768,8416,3,Y,No,12,3,3,80,1,14,3,3,7,3,5,7,Rendah (< 5000),3-5 Tahun,30-39,0-5 km,7,Risiko Rendah,30.979589462280273,19.5991153717041
60,33,0.0,Travel_Frequently,553,Research & Development,5,4,Life Sciences,1,4,Female,74,3,3,Manager,2,Married,11878,23364,6,Y,No,11,3,2,80,2,12,2,3,10,6,8,8,Tinggi (10000-15000),> 5 Tahun,30-39,0-5 km,2,,53.64348602294922,21.013097763061523
61,47,0.0,Travel_Rarely,983,Research & Development,2,2,Medical,1,1,Female,65,3,2,Manufacturing Director,4,Divorced,5070,7389,5,Y,No,13,3,3,80,3,20,2,3,5,0,0,4,Sedang (5000-10000),Baru Dipromosikan,40-49,0-5 km,6,,4.71429443359375,-23.034137725830078
62,35,,Travel_Rarely,660,Sales,7,1,Life Sciences,1,4,Male,76,3,1,Sales Representative,3,Married,2404,16192,1,Y,No,13,3,1,80,1,1,3,3,1,0,0,0,Rendah (< 5000),Baru Dipromosikan,30-39,6-10 km,1,,-40.44342041015625,7.59720516204834
63,30,0.0,Travel_Rarely,921,Research & Development,1,3,Life Sciences,1,4,Male,38,1,1,Laboratory Technician,3,Married,3833,24375,3,Y,No,21,4,3,80,2,7,2,3,2,2,0,2,Rendah (< 5000),Baru Dipromosikan,30-39,0-5 km,1,,-42.437896728515625,-10.760357856750488
64,58,0.0,Travel_Rarely,1145,Research & Development,9,3,Medical,1,2,Female,75,2,1,Research Scientist,2,Married,3346,11873,4,Y,Yes,20,4,2,80,1,9,3,2,1,0,0,0,Rendah (< 5000),Baru Dipromosikan,50+,6-10 km,3,,-13.947942733764648,39.60874938964844
65,37,1.0,Travel_Rarely,625,Sales,1,4,Life Sciences,1,1,Male,46,2,3,Sales Executive,3,Married,10609,14922,5,Y,No,11,3,3,80,0,17,2,1,14,1,11,7,Tinggi (10000-15000),> 5 Tahun,30-39,0-5 km,2,,65.8440933227539,9.5757417678833
66,45,,Travel_Rarely,1005,Research & Development,28,2,Technical Degree,1,4,Female,48,2,4,Research Director,2,Single,16704,17119,1,Y,No,11,3,3,80,0,21,2,3,21,6,8,6,Sangat Tinggi (>15000),> 5 Tahun,40-49,21-30 km,2,,61.00982666015625,-2.90690541267395
67,52,,Non-Travel,585,Sales,29,4,Life Sciences,1,1,Male,40,3,1,Sales Representative,4,Divorced,3482,19788,2,Y,No,15,3,2,80,2,16,3,2,9,8,0,0,Rendah (< 5000),Baru Dipromosikan,50+,21-30 km,5,,-17.29079246520996,-22.363601684570312
68,38,0.0,Travel_Rarely,1380,Research & Development,9,2,Life Sciences,1,3,Female,75,3,1,Laboratory Technician,4,Single,2288,6319,1,Y,No,12,3,3,80,0,2,3,3,2,2,2,1,Rendah (< 5000),1-2 Tahun,30-39,6-10 km,1,,-47.90117263793945,-5.066837310791016
69,43,1.0,Travel_Rarely,1372,Sales,9,3,Marketing,1,1,Female,85,1,2,Sales Executive,3,Single,5346,9489,8,Y,No,13,3,2,80,0,7,2,2,4,3,1,3,Sedang (5000-10000),1-2 Tahun,40-49,6-10 km,6,,-0.8646400570869446,-37.74870300292969
70,27,,Travel_Rarely,728,Sales,23,1,Medical,1,2,Female,36,2,2,Sales Representative,3,Married,3540,7018,1,Y,No,21,4,4,80,1,9,5,3,9,8,5,8,Rendah (< 5000),3-5 Tahun,< 30,21-30 km,7,Risiko Rendah,31.81083106994629,10.96697998046875
71,52,0.0,Travel_Frequently,322,Research & Development,28,2,Medical,1,4,Female,59,4,4,Manufacturing Director,3,Married,13247,9731,2,Y,Yes,11,3,2,80,1,24,3,2,5,3,0,2,Tinggi (10000-15000),Baru Dipromosikan,50+,21-30 km,-1,,,
72,49,,Travel_Rarely,271,Research & Development,3,2,Medical,1,3,Female,43,2,2,Laboratory Technician,1,Married,4789,23070,4,Y,No,25,4,1,80,1,10,3,3,3,2,1,2,Rendah (< 5000),1-2 Tahun,40-49,0-5 km,6,,-13.773326873779297,-21.655004501342773
73,44,0.0,Travel_Rarely,1488,Sales,1,5,Marketing,1,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Y,Yes,21,4,3,80,1,9,2,2,4,3,1,3,Sedang (5000-10000),1-2 Tahun,40-49,0-5 km,8,,-8.857989311218262,37.496185302734375
74,59,0.0,Travel_Rarely,142,Research & Development,3,3,Life Sciences,1,3,Male,70,2,1,Research Scientist,4,Married,2177,8456,3,Y,No,17,3,1,80,1,7,6,3,1,0,0,0,Rendah (< 5000),Baru Dipromosikan,50+,0-5 km,5,,-34.616939544677734,-27.54183006286621
75,58,,Travel_Rarely,605,Sales,21,3,Life Sciences,1,4,Female,72,3,4,Manager,4,Married,17875,11761,4,Y,Yes,13,3,3,80,1,29,2,2,1,0,0,0,Sangat Tinggi (>15000),Baru Dipromosikan,50+,21-30 km,-1,,,
76,31,,Travel_Rarely,471,Research & Development,4,3,Medical,1,1,Female,62,4,1,Laboratory Technician,3,Divorced,3978,16031,8,Y,No,12,3,2,80,1,4,0,2,2,2,2,2,Rendah (< 5000),1-2 Tahun,30-39,0-5 km,6,,-15.077049255371094,-38.578487396240234
77,42,0.0,Non-Travel,926,Research & Development,21,2,Medical,1,3,Female,36,3,2,Manufacturing Director,3,Divorced,5265,16439,2,Y,No,16,3,2,80,1,11,5,3,5,3,0,2,Sedang (5000-10000),Baru Dipromosikan,40-49,21-30 km,6,,5.191074371337891,-15.950712203979492
78,45,0.0,Travel_Rarely,561,Sales,2,3,Other,1,4,Male,61,3,2,Sales Executive,2,Married,4805,16177,0,Y,No,19,3,2,80,1,9,3,4,8,7,3,7,Rendah (< 5000),3-5 Tahun,40-49,0-5 km,7,Risiko Rendah,27.431730270385742,14.219976425170898
79,31,,Travel_Rarely,1079,Sales,10,2,Medical,1,3,Female,86,3,2,Sales Executive,4,Divorced,6583,20115,2,Y,Yes,11,3,4,80,1,8,2,3,5,2,1,4,Sedang (5000-10000),1-2 Tahun,30-39,6-10 km,8,,5.597618103027344,20.124248504638672
80,34,,Travel_Rarely,1130,Research & Development,3,3,Life Sciences,1,4,Female,66,3,2,Research Scientist,2,Divorced,5433,19332,1,Y,No,12,3,3,80,1,11,2,3,11,8,7,9,Sedang (5000-10000),> 5 Tahun,30-39,0-5 km,2,,40.56199645996094,20.82481575012207
81,21,1.0,Travel_Rarely,1427,Research & Development,18,1,Other,1,4,Female,65,3,1,Research Scientist,4,Single,2693,8870,1,Y,No,19,3,1,80,0,1,3,2,1,0,0,0,Rendah (< 5000),Baru Dipromosikan,< 30,11-20 km,1,,-39.4305305480957,14.423380851745605
82,23,0.0,Travel_Rarely,885,Research & Development,4,3,Medical,1,1,Male,58,4,1,Research Scientist,1,Married,2819,8544,2,Y,No,16,3,1,80,1,5,3,4,3,2,0,2,Rendah (< 5000),Baru Dipromosikan,< 30,0-5 km,5,,-26.09025764465332,-14.684266090393066
83,47,,Travel_Rarely,207,Research & Development,9,4,Life Sciences,1,2,Female,64,3,1,Laboratory Technician,3,Single,2105,5411,4,Y,No,12,3,3,80,0,7,2,3,2,2,2,0,Rendah (< 5000),1-2 Tahun,40-49,6-10 km,5,,-24.66819953918457,-27.798259735107422
84,54,0.0,Travel_Rarely,1147,Sales,3,3,Marketing,1,4,Female,52,3,2,Sales Executive,1,Married,5940,17011,2,Y,No,14,3,4,80,1,16,4,3,6,2,0,5,Sedang (5000-10000),Baru Dipromosikan,50+,0-5 km,6,,9.9024019241333,-19.080326080322266
85,41,0.0,Travel_Rarely,509,Research & Development,7,2,Technical Degree,1,2,Female,43,4,1,Research Scientist,3,Married,3376,18863,1,Y,No,13,3,3,80,0,10,3,3,10,6,0,8,Rendah (< 5000),Baru Dipromosikan,40-49,6-10 km,5,,-34.93927764892578,-19.6624698638916
86,45,0.0,Travel_Rarely,1038,Research & Development,20,3,Medical,1,2,Male,95,1,3,Healthcare Representative,1,Divorced,10851,19863,2,Y,Yes,18,3,2,80,1,24,2,3,7,7,0,7,Tinggi (10000-15000),Baru Dipromosikan,40-49,11-20 km,0,Risiko Sedang,21.996740341186523,-2.5926129817962646
87,36,,Travel_Rarely,1120,Sales,11,4,Marketing,1,2,Female,100,2,2,Sales Executive,4,Married,6652,14369,4,Y,No,13,3,1,80,1,8,2,2,6,3,0,0,Sedang (5000-10000),Baru Dipromosikan,30-39,11-20 km,6,,-7.381101131439209,-14.130398750305176
88,45,0.0,Non-Travel,1052,Sales,6,3,Medical,1,4,Female,57,2,3,Sales Executive,4,Single,8865,16840,6,Y,No,12,3,4,80,0,23,2,3,19,7,12,8,Sedang (5000-10000),> 5 Tahun,40-49,6-10 km,2,,61.024986267089844,3.7958250045776367
89,46,,Travel_Rarely,1254,Sales,10,3,Life Sciences,1,3,Female,64,3,3,Sales Executive,2,Married,7314,14011,5,Y,No,21,4,3,80,3,14,2,3,8,7,0,7,Sedang (5000-10000),Baru Dipromosikan,40-49,6-10 km,0,Risiko Sedang,23.630128860473633,-21.872596740722656
